multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,0.002802,0.000035,0.003505,0.000000
0.2,0.6283185307179586,0.06283185307179587,0.006384,0.000083,0.003505,0.000000
0.3,0.9424777960769379,0.0942477796076938,0.012207,0.000223,0.003506,0.000000
0.4,1.2566370614359172,0.12566370614359174,0.024467,0.000834,0.003509,0.000000
0.5,1.5707963267948966,0.15707963267948966,0.037206,0.001902,0.003515,0.000000
0.6,1.8849555921538759,0.1884955592153876,0.056628,0.004473,0.003524,0.000000
0.7,2.199114857512855,0.21991148575128552,0.073585,0.007775,0.003536,0.000000
0.8,2.5132741228718345,0.25132741228718347,0.097793,0.014110,0.003555,0.000000
0.9,2.827433388230814,0.2827433388230814,0.115472,0.020899,0.003572,0.000000
1.0,3.141592653589793,0.3141592653589793,0.143195,0.032378,0.003602,0.000000
1.1,3.4557519189487724,0.3455751918948773,0.162168,0.043780,0.003624,0.000000
1.2,3.7699111843077517,0.3769911184307752,0.196370,0.063498,0.003661,0.000000
1.3,4.084070449666732,0.4084070449666731,0.221223,0.083673,0.003684,0.000000
1.4,4.39822971502571,0.43982297150257105,0.264200,0.116125,0.003733,0.000000
1.5,4.71238898038469,0.47123889803846897,0.292308,0.146160,0.003764,0.000000
1.6,5.026548245743669,0.5026548245743669,0.341730,0.192750,0.003832,0.000000
1.7,5.340707511102649,0.5340707511102648,0.378283,0.235629,0.003876,0.000000
1.8,5.654866776461628,0.5654866776461628,0.438684,0.304131,0.003963,0.000000
1.9,5.969026041820607,0.5969026041820608,0.484128,0.368233,0.004016,0.000001
2.0,6.283185307179586,0.6283185307179586,0.554397,0.466914,0.004122,0.000001
2.1,6.597344572538566,0.6597344572538566,0.608684,0.557975,0.004185,0.000001
2.2,6.911503837897545,0.6911503837897546,0.687549,0.693396,0.004310,0.000001
2.3,7.225663103256524,0.7225663103256524,0.748668,0.817523,0.004387,0.000001
2.4,7.5398223686155035,0.7539822368615504,0.834509,0.997934,0.004535,0.000001
2.5,7.853981633974484,0.7853981633974483,0.902166,1.162712,0.004630,0.000002
2.6,8.168140899333464,0.8168140899333463,0.996746,1.399860,0.004807,0.000002
2.7,8.482300164692441,0.8482300164692442,1.074574,1.618279,0.004926,0.000002
2.8,8.79645943005142,0.8796459430051421,1.179091,1.926346,0.005132,0.000002
2.9,9.1106186954104,0.9110618695410401,1.261196,2.201421,0.005270,0.000003
3.0,9.42477796076938,0.9424777960769379,1.368918,2.573347,0.005500,0.000003
3.1,9.738937226128359,0.9738937226128359,1.454357,2.894775,0.005658,0.000003
3.2,10.053096491487338,1.0053096491487339,1.570211,3.348612,0.005907,0.000003
3.3,10.367255756846319,1.0367255756846319,1.667983,3.771216,0.006077,0.000004
3.4,10.681415022205298,1.0681415022205296,1.803478,4.380498,0.006345,0.000004
3.5,10.995574287564276,1.0995574287564276,1.989465,5.116612,0.006353,0.000004
3.6,11.309733552923255,1.1309733552923256,2.193912,6.098935,0.006646,0.000004
3.7,11.623892818282236,1.1623892818282235,2.480461,7.587898,0.007170,0.000004
3.8,11.938052083641214,1.1938052083641215,2.665964,8.663935,0.007340,0.000003
3.9,12.252211349000193,1.2252211349000195,2.942258,10.526279,0.007904,0.000004
4.0,12.566370614359172,1.2566370614359172,2.950821,10.621935,0.008554,0.000005
4.1,12.880529879718152,1.2880529879718152,3.164306,12.344983,0.009128,0.000006
4.2,13.194689145077133,1.3194689145077132,3.275821,13.169566,0.009654,0.000006
4.3,13.50884841043611,1.3508848410436112,3.443333,14.444291,0.008906,0.000007
4.4,13.82300767579509,1.3823007675795091,3.836945,18.259374,0.008519,0.000019
4.5,14.13716694115407,1.413716694115407,4.960711,34.633128,0.015325,0.000357
4.6,14.451326206513048,1.4451326206513049,8.277369,102.376088,0.069417,0.004335
4.7,14.76548547187203,1.4765485471872029,8.636543,91.981942,0.108624,0.008037
4.8,15.079644737231007,1.5079644737231008,8.000000,0.000000,0.477889,0.007677
4.9,15.393804002589986,1.5393804002589988,17.314346,63017.821592,0.476385,0.015324
5.0,15.707963267948967,1.5707963267948966,8.000000,0.000000,0.482359,0.011719
