multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,0.098280,0.408808,0.003529,0.000000
0.2,0.6283185307179586,0.06283185307179587,0.110574,0.408896,0.003538,0.000000
0.3,0.9424777960769379,0.0942477796076938,0.106404,0.410257,0.003557,0.000000
0.4,1.2566370614359172,0.12566370614359174,0.127342,0.411056,0.003579,0.000000
0.5,1.5707963267948966,0.15707963267948966,0.131742,0.413136,0.003609,0.000000
0.6,1.8849555921538759,0.1884955592153876,0.150601,0.414670,0.003645,0.000000
0.7,2.199114857512855,0.21991148575128552,0.157160,0.417291,0.003686,0.000001
0.8,2.5132741228718345,0.25132741228718347,0.174673,0.419412,0.003735,0.000001
0.9,2.827433388230814,0.2827433388230814,0.182568,0.422566,0.003786,0.000001
1.0,3.141592653589793,0.3141592653589793,0.199231,0.425226,0.003849,0.000002
1.1,3.4557519189487724,0.3455751918948773,0.207923,0.428738,0.003909,0.000002
1.2,3.7699111843077517,0.3769911184307752,0.223918,0.431705,0.003986,0.000003
1.3,4.084070449666732,0.4084070449666731,0.233104,0.435210,0.004053,0.000004
1.4,4.39822971502571,0.43982297150257105,0.248478,0.438657,0.004143,0.000005
1.5,4.71238898038469,0.47123889803846897,0.257760,0.442592,0.004217,0.000006
1.6,5.026548245743669,0.5026548245743669,0.272647,0.446876,0.004321,0.000007
1.7,5.340707511102649,0.5340707511102648,0.282044,0.451432,0.004403,0.000008
1.8,5.654866776461628,0.5654866776461628,0.296922,0.457238,0.004524,0.000009
1.9,5.969026041820607,0.5969026041820608,0.306713,0.462888,0.004616,0.000010
2.0,6.283185307179586,0.6283185307179586,0.322298,0.471111,0.004754,0.000012
2.1,6.597344572538566,0.6597344572538566,0.332965,0.478844,0.004859,0.000014
2.2,6.911503837897545,0.6911503837897546,0.350193,0.491036,0.005017,0.000015
2.3,7.225663103256524,0.7225663103256524,0.362344,0.502619,0.005136,0.000017
2.4,7.5398223686155035,0.7539822368615504,0.382247,0.521364,0.005316,0.000019
2.5,7.853981633974484,0.7853981633974483,0.396473,0.539584,0.005452,0.000021
2.6,8.168140899333464,0.8168140899333463,0.420025,0.568732,0.005655,0.000023
2.7,8.482300164692441,0.8482300164692442,0.436996,0.598045,0.005808,0.000026
2.8,8.79645943005142,0.8796459430051421,0.465286,0.643323,0.006035,0.000028
2.9,9.1106186954104,0.9110618695410401,0.485488,0.689952,0.006208,0.000030
3.0,9.42477796076938,0.9424777960769379,0.523784,0.759592,0.006460,0.000033
3.1,9.738937226128359,0.9738937226128359,0.558471,0.832083,0.006654,0.000035
3.2,10.053096491487338,1.0053096491487339,0.612159,0.936347,0.006931,0.000038
3.3,10.367255756846319,1.0367255756846319,0.659267,1.046217,0.007146,0.000041
3.4,10.681415022205298,1.0681415022205296,0.725353,1.198743,0.007448,0.000043
3.5,10.995574287564276,1.0995574287564276,1.087204,3.422607,0.007683,0.000045
3.6,11.309733552923255,1.1309733552923256,1.189789,3.782096,0.007817,0.000048
3.7,11.623892818282236,1.1623892818282235,1.572735,6.048929,0.008342,0.000050
3.8,11.938052083641214,1.1938052083641215,1.729742,7.109739,0.008488,0.000052
3.9,12.252211349000193,1.2252211349000195,2.248199,9.475460,0.009117,0.000054
4.0,12.566370614359172,1.2566370614359172,2.361798,10.750400,0.009208,0.000055
4.1,12.880529879718152,1.2880529879718152,2.705117,11.578657,0.010175,0.000056
4.2,13.194689145077133,1.3194689145077132,2.898422,11.821058,0.010913,0.000057
4.3,13.50884841043611,1.3508848410436112,3.312427,14.986441,0.010355,0.000058
4.4,13.82300767579509,1.3823007675795091,3.495962,17.951178,0.009104,0.000067
4.5,14.13716694115407,1.413716694115407,8.863890,545.306673,0.217689,0.052674
4.6,14.451326206513048,1.4451326206513049,8.889583,236.986147,0.305117,0.039095
4.7,14.76548547187203,1.4765485471872029,8.603903,174.525439,0.353311,0.022528
4.8,15.079644737231007,1.5079644737231008,8.060341,5.591925,0.332455,0.024376
4.9,15.393804002589986,1.5393804002589988,8.068321,6.083311,0.404078,0.012753
5.0,15.707963267948967,1.5707963267948966,8.075700,6.580511,0.385256,0.020898
