multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,0.037092,0.126742,0.003537,0.000000
0.2,0.6283185307179586,0.06283185307179587,0.039095,0.126768,0.003547,0.000000
0.3,0.9424777960769379,0.0942477796076938,0.041820,0.126812,0.003564,0.000000
0.4,1.2566370614359172,0.12566370614359174,0.045434,0.126892,0.003587,0.000000
0.5,1.5707963267948966,0.15707963267948966,0.049099,0.127002,0.003615,0.000000
0.6,1.8849555921538759,0.1884955592153876,0.053433,0.127173,0.003651,0.000001
0.7,2.199114857512855,0.21991148575128552,0.057512,0.127362,0.003691,0.000001
0.8,2.5132741228718345,0.25132741228718347,0.062124,0.127632,0.003741,0.000001
0.9,2.827433388230814,0.2827433388230814,0.066342,0.127902,0.003791,0.000001
1.0,3.141592653589793,0.3141592653589793,0.071012,0.128271,0.003855,0.000002
1.1,3.4557519189487724,0.3455751918948773,0.075218,0.128623,0.003913,0.000002
1.2,3.7699111843077517,0.3769911184307752,0.079841,0.129091,0.003991,0.000003
1.3,4.084070449666732,0.4084070449666731,0.083969,0.129532,0.004056,0.000004
1.4,4.39822971502571,0.43982297150257105,0.088505,0.130118,0.004147,0.000005
1.5,4.71238898038469,0.47123889803846897,0.092552,0.130668,0.004220,0.000006
1.6,5.026548245743669,0.5026548245743669,0.097032,0.131420,0.004325,0.000007
1.7,5.340707511102649,0.5340707511102648,0.101067,0.132136,0.004406,0.000008
1.8,5.654866776461628,0.5654866776461628,0.105580,0.133138,0.004527,0.000009
1.9,5.969026041820607,0.5969026041820608,0.109698,0.134115,0.004618,0.000010
2.0,6.283185307179586,0.6283185307179586,0.114456,0.135510,0.004757,0.000012
2.1,6.597344572538566,0.6597344572538566,0.118815,0.136824,0.004861,0.000014
2.2,6.911503837897545,0.6911503837897546,0.124083,0.138449,0.005020,0.000015
2.3,7.225663103256524,0.7225663103256524,0.128787,0.139724,0.005139,0.000017
2.4,7.5398223686155035,0.7539822368615504,0.134800,0.141462,0.005320,0.000019
2.5,7.853981633974484,0.7853981633974483,0.140012,0.142831,0.005454,0.000021
2.6,8.168140899333464,0.8168140899333463,0.147044,0.144970,0.005658,0.000023
2.7,8.482300164692441,0.8482300164692442,0.152893,0.146796,0.005811,0.000026
2.8,8.79645943005142,0.8796459430051421,0.161211,0.149935,0.006039,0.000028
2.9,9.1106186954104,0.9110618695410401,0.167867,0.153005,0.006211,0.000030
3.0,9.42477796076938,0.9424777960769379,0.177771,0.158313,0.006464,0.000033
3.1,9.738937226128359,0.9738937226128359,0.186664,0.164223,0.006657,0.000035
3.2,10.053096491487338,1.0053096491487339,0.201657,0.173879,0.006934,0.000038
3.3,10.367255756846319,1.0367255756846319,0.215470,0.185147,0.007149,0.000041
3.4,10.681415022205298,1.0681415022205296,0.234901,0.201777,0.007450,0.000043
3.5,10.995574287564276,1.0995574287564276,0.394387,0.769051,0.007699,0.000045
3.6,11.309733552923255,1.1309733552923256,0.562802,1.265357,0.008076,0.000048
3.7,11.623892818282236,1.1623892818282235,0.771108,1.973958,0.008494,0.000050
3.8,11.938052083641214,1.1938052083641215,1.115564,3.046464,0.009294,0.000052
3.9,12.252211349000193,1.2252211349000195,1.384118,4.126439,0.009737,0.000054
4.0,12.566370614359172,1.2566370614359172,1.451533,4.413316,0.010489,0.000055
4.1,12.880529879718152,1.2880529879718152,1.556672,4.985047,0.010739,0.000056
4.2,13.194689145077133,1.3194689145077132,1.810296,6.205594,0.011216,0.000065
4.3,13.50884841043611,1.3508848410436112,2.296621,9.147746,0.011794,0.000106
4.4,13.82300767579509,1.3823007675795091,3.900800,20.944555,0.021825,0.000394
4.5,14.13716694115407,1.413716694115407,6.978118,67.234108,0.056645,0.002533
4.6,14.451326206513048,1.4451326206513049,8.061894,89.628969,0.082430,0.003674
4.7,14.76548547187203,1.4765485471872029,8.620382,130.386285,0.097371,0.004836
4.8,15.079644737231007,1.5079644737231008,7.404971,100.309302,0.083749,0.002195
4.9,15.393804002589986,1.5393804002589988,1847.422496,1537235.228452,0.252097,0.088205
5.0,15.707963267948967,1.5707963267948966,1319.201428,2470060.019562,0.370438,0.073250
