multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,2.181669,0.798703,0.003961,0.000000
0.2,0.6283185307179586,0.06283185307179587,2.170004,0.803554,0.003964,0.000000
0.3,0.9424777960769379,0.0942477796076938,2.178178,0.800744,0.003976,0.000000
0.4,1.2566370614359172,0.12566370614359174,2.175587,0.803647,0.003991,0.000001
0.5,1.5707963267948966,0.15707963267948966,2.183753,0.802047,0.004012,0.000001
0.6,1.8849555921538759,0.1884955592153876,2.183887,0.806619,0.004040,0.000001
0.7,2.199114857512855,0.21991148575128552,2.193359,0.809650,0.004072,0.000001
0.8,2.5132741228718345,0.25132741228718347,2.196343,0.819085,0.004114,0.000001
0.9,2.827433388230814,0.2827433388230814,2.206871,0.825672,0.004155,0.000002
1.0,3.141592653589793,0.3141592653589793,2.211876,0.839830,0.004211,0.000002
1.1,3.4557519189487724,0.3455751918948773,2.222625,0.850200,0.004259,0.000003
1.2,3.7699111843077517,0.3769911184307752,2.229918,0.871183,0.004328,0.000003
1.3,4.084070449666732,0.4084070449666731,2.241592,0.891054,0.004383,0.000004
1.4,4.39822971502571,0.43982297150257105,2.251959,0.924718,0.004465,0.000005
1.5,4.71238898038469,0.47123889803846897,2.264147,0.952005,0.004527,0.000006
1.6,5.026548245743669,0.5026548245743669,2.277669,1.000727,0.004623,0.000007
1.7,5.340707511102649,0.5340707511102648,2.290358,1.038894,0.004693,0.000008
1.8,5.654866776461628,0.5654866776461628,2.306168,1.101777,0.004803,0.000010
1.9,5.969026041820607,0.5969026041820608,2.319411,1.153481,0.004883,0.000011
2.0,6.283185307179586,0.6283185307179586,2.338202,1.238466,0.005011,0.000012
2.1,6.597344572538566,0.6597344572538566,2.352299,1.309377,0.005102,0.000014
2.2,6.911503837897545,0.6911503837897546,2.374708,1.424483,0.005251,0.000016
2.3,7.225663103256524,0.7225663103256524,2.390523,1.523559,0.005357,0.000018
2.4,7.5398223686155035,0.7539822368615504,2.416480,1.674834,0.005527,0.000020
2.5,7.853981633974484,0.7853981633974483,2.433329,1.802055,0.005649,0.000022
2.6,8.168140899333464,0.8168140899333463,2.462336,1.993759,0.005843,0.000024
2.7,8.482300164692441,0.8482300164692442,2.479346,2.150272,0.005984,0.000026
2.8,8.79645943005142,0.8796459430051421,2.515633,2.379936,0.006203,0.000029
2.9,9.1106186954104,0.9110618695410401,2.542863,2.571622,0.006364,0.000031
3.0,9.42477796076938,0.9424777960769379,2.590890,2.859665,0.006609,0.000034
3.1,9.738937226128359,0.9738937226128359,2.625639,3.106387,0.006793,0.000037
3.2,10.053096491487338,1.0053096491487339,2.683909,3.467252,0.007066,0.000040
3.3,10.367255756846319,1.0367255756846319,2.730160,3.771438,0.007272,0.000043
3.4,10.681415022205298,1.0681415022205296,2.809301,4.212785,0.007571,0.000046
3.5,10.995574287564276,1.0995574287564276,2.867618,4.579932,0.007799,0.000049
3.6,11.309733552923255,1.1309733552923256,2.960385,5.109279,0.008122,0.000053
3.7,11.623892818282236,1.1623892818282235,3.279817,5.811389,0.008765,0.000056
3.8,11.938052083641214,1.1938052083641215,3.473419,6.570906,0.009156,0.000059
3.9,12.252211349000193,1.2252211349000195,3.780780,7.490899,0.009687,0.000062
4.0,12.566370614359172,1.2566370614359172,3.990167,8.416787,0.010015,0.000062
4.1,12.880529879718152,1.2880529879718152,4.361486,9.303009,0.011273,0.000065
4.2,13.194689145077133,1.3194689145077132,7.761222,1.194745,0.109627,0.013966
4.3,13.50884841043611,1.3508848410436112,7.987972,0.048678,0.267539,0.006837
4.4,13.82300767579509,1.3823007675795091,8.103678,2.625930,0.153211,0.010983
4.5,14.13716694115407,1.413716694115407,7.991760,0.008090,0.391084,0.021422
4.6,14.451326206513048,1.4451326206513049,7.990062,0.011192,0.273015,0.007782
4.7,14.76548547187203,1.4765485471872029,7.991306,0.009425,0.297268,0.022705
4.8,15.079644737231007,1.5079644737231008,7.990279,0.011580,0.276891,0.024016
4.9,15.393804002589986,1.5393804002589988,7.989391,0.013677,0.241587,0.014154
5.0,15.707963267948967,1.5707963267948966,8.187798,34.320613,0.351083,0.082505
