multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,1.463513,0.136233,0.003859,0.000000
0.2,0.6283185307179586,0.06283185307179587,1.367033,0.146261,0.003885,0.000000
0.3,0.9424777960769379,0.0942477796076938,1.374688,0.146176,0.003893,0.000000
0.4,1.2566370614359172,0.12566370614359174,1.350128,0.144604,0.003911,0.000000
0.5,1.5707963267948966,0.15707963267948966,1.328273,0.144550,0.003910,0.000000
0.6,1.8849555921538759,0.1884955592153876,1.328218,0.144873,0.003915,0.000000
0.7,2.199114857512855,0.21991148575128552,1.328131,0.145387,0.003908,0.000000
0.8,2.5132741228718345,0.25132741228718347,1.335114,0.145878,0.003913,0.000000
0.9,2.827433388230814,0.2827433388230814,1.335908,0.147456,0.003908,0.000000
1.0,3.141592653589793,0.3141592653589793,1.340446,0.149782,0.003920,0.000000
1.1,3.4557519189487724,0.3455751918948773,1.340461,0.152984,0.003914,0.000000
1.2,3.7699111843077517,0.3769911184307752,1.342718,0.157443,0.003931,0.000000
1.3,4.084070449666732,0.4084070449666731,1.341417,0.162213,0.003926,0.000000
1.4,4.39822971502571,0.43982297150257105,1.344596,0.170231,0.003958,0.000000
1.5,4.71238898038469,0.47123889803846897,1.345991,0.178239,0.003963,0.000000
1.6,5.026548245743669,0.5026548245743669,1.352336,0.190874,0.004014,0.000000
1.7,5.340707511102649,0.5340707511102648,1.355731,0.202126,0.004029,0.000000
1.8,5.654866776461628,0.5654866776461628,1.363739,0.220353,0.004098,0.000001
1.9,5.969026041820607,0.5969026041820608,1.367030,0.236264,0.004122,0.000001
2.0,6.283185307179586,0.6283185307179586,1.375342,0.262363,0.004209,0.000001
2.1,6.597344572538566,0.6597344572538566,1.377619,0.284384,0.004246,0.000001
2.2,6.911503837897545,0.6911503837897546,1.386531,0.320009,0.004355,0.000001
2.3,7.225663103256524,0.7225663103256524,1.389258,0.349125,0.004407,0.000002
2.4,7.5398223686155035,0.7539822368615504,1.400163,0.395933,0.004541,0.000002
2.5,7.853981633974484,0.7853981633974483,1.403561,0.433396,0.004611,0.000002
2.6,8.168140899333464,0.8168140899333463,1.416380,0.493573,0.004775,0.000003
2.7,8.482300164692441,0.8482300164692442,1.419778,0.541530,0.004870,0.000003
2.8,8.79645943005142,0.8796459430051421,1.433057,0.618834,0.005067,0.000003
2.9,9.1106186954104,0.9110618695410401,1.434298,0.680009,0.005186,0.000004
3.0,9.42477796076938,0.9424777960769379,1.445897,0.775998,0.005412,0.000004
3.1,9.738937226128359,0.9738937226128359,1.444403,0.847259,0.005550,0.000004
3.2,10.053096491487338,1.0053096491487339,1.458695,0.958331,0.005797,0.000005
3.3,10.367255756846319,1.0367255756846319,1.460847,1.042459,0.005947,0.000005
3.4,10.681415022205298,1.0681415022205296,1.482425,1.185452,0.006216,0.000006
3.5,10.995574287564276,1.0995574287564276,1.573218,1.514522,0.006557,0.000006
3.6,11.309733552923255,1.1309733552923256,1.644660,1.733336,0.006631,0.000006
3.7,11.623892818282236,1.1623892818282235,1.789889,2.195990,0.006988,0.000006
3.8,11.938052083641214,1.1938052083641215,1.901310,2.593289,0.007395,0.000006
3.9,12.252211349000193,1.2252211349000195,2.022771,2.986584,0.007499,0.000006
4.0,12.566370614359172,1.2566370614359172,2.202792,3.622793,0.008199,0.000007
4.1,12.880529879718152,1.2880529879718152,2.364538,4.210040,0.008504,0.000008
4.2,13.194689145077133,1.3194689145077132,2.566769,5.033018,0.008047,0.000008
4.3,13.50884841043611,1.3508848410436112,3.084313,6.974886,0.009879,0.000181
4.4,13.82300767579509,1.3823007675795091,6.042131,10.708676,0.107192,0.012778
4.5,14.13716694115407,1.413716694115407,7.142098,9.727911,0.117029,0.010154
4.6,14.451326206513048,1.4451326206513049,7.330425,6.056790,0.125347,0.006837
4.7,14.76548547187203,1.4765485471872029,7.763235,4.602856,0.290431,0.020422
4.8,15.079644737231007,1.5079644737231008,7.462229,6.801493,0.126118,0.006430
4.9,15.393804002589986,1.5393804002589988,7.576990,3.564875,0.162181,0.011394
5.0,15.707963267948967,1.5707963267948966,7.795828,6.387651,0.149373,0.007922
