multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,0.029916,0.070055,0.003534,0.000000
0.2,0.6283185307179586,0.06283185307179587,0.033430,0.070215,0.003531,0.000000
0.3,0.9424777960769379,0.0942477796076938,0.037630,0.070569,0.003533,0.000000
0.4,1.2566370614359172,0.12566370614359174,0.046974,0.071315,0.003542,0.000000
0.5,1.5707963267948966,0.15707963267948966,0.056109,0.072539,0.003557,0.000000
0.6,1.8849555921538759,0.1884955592153876,0.070693,0.074916,0.003578,0.000000
0.7,2.199114857512855,0.21991148575128552,0.083357,0.078028,0.003603,0.000000
0.8,2.5132741228718345,0.25132741228718347,0.102372,0.083340,0.003635,0.000000
0.9,2.827433388230814,0.2827433388230814,0.117731,0.088891,0.003669,0.000000
1.0,3.141592653589793,0.3141592653589793,0.140924,0.098115,0.003711,0.000001
1.1,3.4557519189487724,0.3455751918948773,0.158731,0.107147,0.003753,0.000001
1.2,3.7699111843077517,0.3769911184307752,0.186651,0.122123,0.003804,0.000001
1.3,4.084070449666732,0.4084070449666731,0.206993,0.135898,0.003852,0.000002
1.4,4.39822971502571,0.43982297150257105,0.239338,0.158461,0.003913,0.000002
1.5,4.71238898038469,0.47123889803846897,0.261434,0.178054,0.003968,0.000002
1.6,5.026548245743669,0.5026548245743669,0.297809,0.210292,0.004040,0.000003
1.7,5.340707511102649,0.5340707511102648,0.321450,0.237200,0.004103,0.000004
1.8,5.654866776461628,0.5654866776461628,0.362090,0.281908,0.004187,0.000004
1.9,5.969026041820607,0.5969026041820608,0.387552,0.318274,0.004260,0.000005
2.0,6.283185307179586,0.6283185307179586,0.433292,0.379065,0.004358,0.000006
2.1,6.597344572538566,0.6597344572538566,0.461291,0.427581,0.004443,0.000007
2.2,6.911503837897545,0.6911503837897546,0.512493,0.508972,0.004557,0.000008
2.3,7.225663103256524,0.7225663103256524,0.543183,0.573130,0.004656,0.000009
2.4,7.5398223686155035,0.7539822368615504,0.600301,0.680741,0.004788,0.000010
2.5,7.853981633974484,0.7853981633974483,0.634183,0.765091,0.004903,0.000012
2.6,8.168140899333464,0.8168140899333463,0.697985,0.906027,0.005056,0.000014
2.7,8.482300164692441,0.8482300164692442,0.735947,1.016417,0.005188,0.000015
2.8,8.79645943005142,0.8796459430051421,0.807411,1.199411,0.005364,0.000017
2.9,9.1106186954104,0.9110618695410401,0.850232,1.343190,0.005514,0.000019
3.0,9.42477796076938,0.9424777960769379,0.929595,1.578569,0.005709,0.000021
3.1,9.738937226128359,0.9738937226128359,0.978746,1.766476,0.005867,0.000023
3.2,10.053096491487338,1.0053096491487339,1.072245,2.076620,0.006066,0.000025
3.3,10.367255756846319,1.0367255756846319,1.133280,2.333957,0.006233,0.000026
3.4,10.681415022205298,1.0681415022205296,1.246779,2.770158,0.006481,0.000028
3.5,10.995574287564276,1.0995574287564276,1.336020,3.196462,0.006802,0.000031
3.6,11.309733552923255,1.1309733552923256,1.490090,3.925288,0.007333,0.000040
3.7,11.623892818282236,1.1623892818282235,1.617599,4.774192,0.007945,0.000061
3.8,11.938052083641214,1.1938052083641215,4.177631,32.555996,0.029345,0.002336
3.9,12.252211349000193,1.2252211349000195,7.990015,5.712142,0.549406,0.021479
4.0,12.566370614359172,1.2566370614359172,8.003664,6.157158,0.561346,0.028692
4.1,12.880529879718152,1.2880529879718152,8.020834,9.042466,0.467935,0.033752
4.2,13.194689145077133,1.3194689145077132,7.970509,16.070803,0.506901,0.038664
4.3,13.50884841043611,1.3508848410436112,7.521085,48.703159,0.094782,0.001932
4.4,13.82300767579509,1.3823007675795091,7.693535,19.708656,0.220181,0.037111
4.5,14.13716694115407,1.413716694115407,7.857223,2.802650,0.477598,0.037527
4.6,14.451326206513048,1.4451326206513049,7.874667,2.711437,0.519572,0.034269
4.7,14.76548547187203,1.4765485471872029,7.932474,2.611513,0.504089,0.031917
4.8,15.079644737231007,1.5079644737231008,7.938725,2.824882,0.481937,0.024272
4.9,15.393804002589986,1.5393804002589988,7.988618,2.905928,0.458140,0.019420
5.0,15.707963267948967,1.5707963267948966,7.996832,3.083382,0.527564,0.031603
