multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,0.027778,0.069911,0.003534,0.000000
0.2,0.6283185307179586,0.06283185307179587,0.029478,0.070026,0.003531,0.000000
0.3,0.9424777960769379,0.0942477796076938,0.031947,0.070391,0.003533,0.000000
0.4,1.2566370614359172,0.12566370614359174,0.034905,0.071013,0.003542,0.000000
0.5,1.5707963267948966,0.15707963267948966,0.038142,0.071992,0.003556,0.000000
0.6,1.8849555921538759,0.1884955592153876,0.041741,0.073356,0.003578,0.000000
0.7,2.199114857512855,0.21991148575128552,0.045410,0.075176,0.003603,0.000000
0.8,2.5132741228718345,0.25132741228718347,0.049392,0.077341,0.003636,0.000000
0.9,2.827433388230814,0.2827433388230814,0.053297,0.079569,0.003669,0.000000
1.0,3.141592653589793,0.3141592653589793,0.057506,0.082075,0.003712,0.000001
1.1,3.4557519189487724,0.3455751918948773,0.061543,0.084666,0.003753,0.000001
1.2,3.7699111843077517,0.3769911184307752,0.065916,0.087574,0.003805,0.000001
1.3,4.084070449666732,0.4084070449666731,0.070029,0.090502,0.003853,0.000002
1.4,4.39822971502571,0.43982297150257105,0.074499,0.093540,0.003914,0.000002
1.5,4.71238898038469,0.47123889803846897,0.078601,0.096394,0.003969,0.000002
1.6,5.026548245743669,0.5026548245743669,0.083099,0.099261,0.004042,0.000003
1.7,5.340707511102649,0.5340707511102648,0.087121,0.101842,0.004105,0.000004
1.8,5.654866776461628,0.5654866776461628,0.091616,0.104469,0.004189,0.000004
1.9,5.969026041820607,0.5969026041820608,0.095580,0.106802,0.004262,0.000005
2.0,6.283185307179586,0.6283185307179586,0.100122,0.109284,0.004361,0.000006
2.1,6.597344572538566,0.6597344572538566,0.103949,0.111523,0.004445,0.000007
2.2,6.911503837897545,0.6911503837897546,0.108420,0.114087,0.004560,0.000008
2.3,7.225663103256524,0.7225663103256524,0.112112,0.116655,0.004658,0.000009
2.4,7.5398223686155035,0.7539822368615504,0.116855,0.119824,0.004791,0.000010
2.5,7.853981633974484,0.7853981633974483,0.121869,0.123614,0.004905,0.000012
2.6,8.168140899333464,0.8168140899333463,0.128895,0.128458,0.005058,0.000013
2.7,8.482300164692441,0.8482300164692442,0.135490,0.133858,0.005190,0.000015
2.8,8.79645943005142,0.8796459430051421,0.144894,0.142587,0.005364,0.000017
2.9,9.1106186954104,0.9110618695410401,0.153487,0.151203,0.005516,0.000019
3.0,9.42477796076938,0.9424777960769379,0.165476,0.164125,0.005708,0.000021
3.1,9.738937226128359,0.9738937226128359,0.176242,0.177826,0.005869,0.000023
3.2,10.053096491487338,1.0053096491487339,0.195772,0.206429,0.006066,0.000024
3.3,10.367255756846319,1.0367255756846319,0.218180,0.253548,0.006229,0.000026
3.4,10.681415022205298,1.0681415022205296,0.249657,0.323352,0.006483,0.000027
3.5,10.995574287564276,1.0995574287564276,0.286887,0.442995,0.006814,0.000031
3.6,11.309733552923255,1.1309733552923256,0.339476,0.637767,0.007365,0.000040
3.7,11.623892818282236,1.1623892818282235,0.408910,0.969012,0.007884,0.000059
3.8,11.938052083641214,1.1938052083641215,1.897049,14.403514,0.020192,0.001119
3.9,12.252211349000193,1.2252211349000195,7.912368,5.180532,0.547946,0.021578
4.0,12.566370614359172,1.2566370614359172,2.390008,17.546445,0.024584,0.002863
4.1,12.880529879718152,1.2880529879718152,3.721722,31.477630,0.027048,0.002060
4.2,13.194689145077133,1.3194689145077132,8.685746,280.553118,0.427268,0.045360
4.3,13.50884841043611,1.3508848410436112,7.835784,22.095491,0.394683,0.035773
4.4,13.82300767579509,1.3823007675795091,7.886086,48.876988,0.171100,0.014057
4.5,14.13716694115407,1.413716694115407,7.928409,34.175059,0.390370,0.064561
4.6,14.451326206513048,1.4451326206513049,7.693306,31.105829,0.106924,0.003042
4.7,14.76548547187203,1.4765485471872029,7.944318,31.129523,0.221642,0.041322
4.8,15.079644737231007,1.5079644737231008,8.301021,57.063535,0.137204,0.005811
4.9,15.393804002589986,1.5393804002589988,8.098978,13.036890,0.495886,0.023485
5.0,15.707963267948967,1.5707963267948966,847.086100,2114583.031885,0.282464,0.019746
