multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,1.332204,0.300594,0.004068,0.000000
0.2,0.6283185307179586,0.06283185307179587,1.331110,0.302417,0.004036,0.000000
0.3,0.9424777960769379,0.0942477796076938,1.287897,0.307152,0.004055,0.000000
0.4,1.2566370614359172,0.12566370614359174,1.300347,0.308433,0.004013,0.000000
0.5,1.5707963267948966,0.15707963267948966,1.334587,0.308211,0.004009,0.000000
0.6,1.8849555921538759,0.1884955592153876,1.370100,0.300356,0.004080,0.000000
0.7,2.199114857512855,0.21991148575128552,1.374802,0.304543,0.004098,0.000000
0.8,2.5132741228718345,0.25132741228718347,1.369969,0.307002,0.004120,0.000000
0.9,2.827433388230814,0.2827433388230814,1.366568,0.312269,0.004132,0.000000
1.0,3.141592653589793,0.3141592653589793,1.359040,0.316095,0.004166,0.000001
1.1,3.4557519189487724,0.3455751918948773,1.363169,0.321032,0.004181,0.000001
1.2,3.7699111843077517,0.3769911184307752,1.359840,0.325593,0.004222,0.000001
1.3,4.084070449666732,0.4084070449666731,1.365722,0.331778,0.004244,0.000001
1.4,4.39822971502571,0.43982297150257105,1.362889,0.337955,0.004296,0.000002
1.5,4.71238898038469,0.47123889803846897,1.369149,0.345429,0.004327,0.000002
1.6,5.026548245743669,0.5026548245743669,1.366791,0.353841,0.004390,0.000003
1.7,5.340707511102649,0.5340707511102648,1.373217,0.362972,0.004431,0.000003
1.8,5.654866776461628,0.5654866776461628,1.371033,0.374185,0.004506,0.000004
1.9,5.969026041820607,0.5969026041820608,1.377442,0.385165,0.004558,0.000005
2.0,6.283185307179586,0.6283185307179586,1.375374,0.400062,0.004646,0.000006
2.1,6.597344572538566,0.6597344572538566,1.381857,0.413646,0.004710,0.000007
2.2,6.911503837897545,0.6911503837897546,1.379940,0.433047,0.004814,0.000008
2.3,7.225663103256524,0.7225663103256524,1.386341,0.449716,0.004893,0.000009
2.4,7.5398223686155035,0.7539822368615504,1.384513,0.474823,0.005015,0.000011
2.5,7.853981633974484,0.7853981633974483,1.390849,0.495259,0.005108,0.000012
2.6,8.168140899333464,0.8168140899333463,1.390602,0.527577,0.005250,0.000014
2.7,8.482300164692441,0.8482300164692442,1.401244,0.552874,0.005364,0.000016
2.8,8.79645943005142,0.8796459430051421,1.406542,0.593932,0.005528,0.000018
2.9,9.1106186954104,0.9110618695410401,1.420018,0.625690,0.005660,0.000020
3.0,9.42477796076938,0.9424777960769379,1.429209,0.678889,0.005843,0.000023
3.1,9.738937226128359,0.9738937226128359,1.444687,0.719868,0.005989,0.000025
3.2,10.053096491487338,1.0053096491487339,1.458741,0.790564,0.006182,0.000027
3.3,10.367255756846319,1.0367255756846319,1.478496,0.848623,0.006333,0.000028
3.4,10.681415022205298,1.0681415022205296,1.500246,0.953368,0.006586,0.000030
3.5,10.995574287564276,1.0995574287564276,1.529002,1.063409,0.006929,0.000035
3.6,11.309733552923255,1.1309733552923256,1.562798,1.260557,0.007519,0.000048
3.7,11.623892818282236,1.1623892818282235,1.631700,1.663083,0.008161,0.000071
3.8,11.938052083641214,1.1938052083641215,7.822169,2.054028,0.425456,0.014818
3.9,12.252211349000193,1.2252211349000195,7.868388,1.575839,0.317424,0.006101
4.0,12.566370614359172,1.2566370614359172,7.907526,1.829305,0.463471,0.013082
4.1,12.880529879718152,1.2880529879718152,7.922969,2.655585,0.304559,0.005199
4.2,13.194689145077133,1.3194689145077132,7.863220,3.303306,0.314985,0.009124
4.3,13.50884841043611,1.3508848410436112,7.753327,3.110349,0.436904,0.026407
4.4,13.82300767579509,1.3823007675795091,7.823519,1.203309,0.350017,0.028784
4.5,14.13716694115407,1.413716694115407,7.935741,0.644513,0.414718,0.026794
4.6,14.451326206513048,1.4451326206513049,7.936839,0.706137,0.270118,0.013570
4.7,14.76548547187203,1.4765485471872029,7.938411,0.751765,0.379243,0.019705
4.8,15.079644737231007,1.5079644737231008,7.940368,0.801231,0.284287,0.007577
4.9,15.393804002589986,1.5393804002589988,8.005607,10.857263,0.453056,0.025546
5.0,15.707963267948967,1.5707963267948966,7.945441,0.962953,0.384540,0.021231
