multiplier,angular_speed_rad_s,avg_force_z_error
0.1,0.3141592653589793,0.098280
0.2,0.6283185307179586,0.110574
0.3,0.9424777960769379,0.106404
0.4,1.2566370614359172,0.127342
0.5,1.5707963267948966,0.131742
0.6,1.8849555921538759,0.150601
0.7,2.199114857512855,0.157160
0.8,2.5132741228718345,0.174673
0.9,2.827433388230814,0.182568
1.0,3.141592653589793,0.199231
1.1,3.4557519189487724,0.207923
1.2,3.7699111843077517,0.223918
1.3,4.084070449666732,0.233104
1.4,4.39822971502571,0.248478
1.5,4.71238898038469,0.257760
1.6,5.026548245743669,0.272647
1.7,5.340707511102649,0.282044
1.8,5.654866776461628,0.296922
1.9,5.969026041820607,0.306713
2.0,6.283185307179586,0.322298
2.1,6.597344572538566,0.332965
2.2,6.911503837897545,0.350193
2.3,7.225663103256524,0.362344
2.4,7.5398223686155035,0.382247
2.5,7.853981633974484,0.396473
2.6,8.168140899333464,0.420025
2.7,8.482300164692441,0.436996
2.8,8.79645943005142,0.465286
2.9,9.1106186954104,0.485488
3.0,9.42477796076938,0.523784
3.1,9.738937226128359,0.558471
3.2,10.053096491487338,0.612159
3.3,10.367255756846319,0.659267
3.4,10.681415022205298,0.725353
3.5,10.995574287564276,1.087204
3.6,11.309733552923255,1.189789
3.7,11.623892818282236,1.572735
3.8,11.938052083641214,1.729742
3.9,12.252211349000193,2.248199
4.0,12.566370614359172,2.361798
4.1,12.880529879718152,2.705117
4.2,13.194689145077133,2.898422
4.3,13.50884841043611,3.312427
4.4,13.82300767579509,3.495962
4.5,14.13716694115407,8.863890
4.6,14.451326206513048,8.889583
4.7,14.76548547187203,8.603903
4.8,15.079644737231007,8.060341
4.9,15.393804002589986,8.068321
5.0,15.707963267948967,8.075700
