robot,omega_rad_s,ee_linear_speed_m_s,mean_force_error,std_force_error,mean_position_error,std_position_error
fr3,0.1000,0.0100,4.219532,4.930395,0.261598,0.343781
fr3,0.2000,0.0200,4.253868,4.877239,0.265762,0.350792
fr3,0.3000,0.0300,4.300335,4.773789,0.263040,0.367596
fr3,0.4000,0.0400,4.306336,4.619745,0.201137,0.307301
fr3,0.5000,0.0500,4.180807,4.375549,0.116360,0.193648
fr3,0.6000,0.0600,3.632781,3.890515,0.039445,0.068683
fr3,0.7000,0.0700,1.865655,2.021107,0.010270,0.005347
fr3,0.8000,0.0800,0.450322,0.299621,0.003920,0.000853
fr3,0.9000,0.0900,0.433115,0.381975,0.017903,0.011537
fr3,1.0000,0.1000,0.290879,0.149210,0.023646,0.008758
fr3,1.1000,0.1100,0.201419,0.062691,0.029620,0.005956
fr3,1.2000,0.1200,0.144179,0.019614,0.035938,0.003213
fr3,1.3000,0.1300,0.128162,0.001863,0.041433,0.000263
fr3_friction,0.1000,0.0100,0.049752,0.016917,0.016122,0.013948
fr3_friction,0.2000,0.0200,0.066236,0.025663,0.019408,0.013271
fr3_friction,0.3000,0.0300,0.081688,0.030681,0.022722,0.012648
fr3_friction,0.4000,0.0400,0.089881,0.030744,0.025388,0.012425
fr3_friction,0.5000,0.0500,0.091726,0.028140,0.027884,0.012076
fr3_friction,0.6000,0.0600,0.089002,0.025759,0.030436,0.011517
fr3_friction,0.7000,0.0700,0.082942,0.024607,0.033106,0.010712
fr3_friction,0.8000,0.0800,0.074369,0.025219,0.035991,0.009679
fr3_friction,0.9000,0.0900,0.064039,0.027600,0.039079,0.008361
fr3_friction,1.0000,0.1000,0.052294,0.031482,0.042410,0.006743
fr3_friction,1.1000,0.1100,0.043945,0.036805,0.046032,0.004837
fr3_friction,1.2000,0.1200,0.027818,0.031446,0.049918,0.002648
fr3_friction,1.3000,0.1300,0.033273,0.002282,0.053995,0.000227
fr3_jointf,0.1000,0.0100,3.197486,3.395435,0.101330,0.204830
fr3_jointf,0.2000,0.0200,1.769265,0.784318,0.016623,0.010032
fr3_jointf,0.3000,0.0300,2.027842,1.063979,0.022354,0.009784
fr3_jointf,0.4000,0.0400,2.237950,1.263431,0.026725,0.008970
fr3_jointf,0.5000,0.0500,2.473081,1.301054,0.030920,0.008407
fr3_jointf,0.6000,0.0600,2.665078,1.303782,0.035127,0.008106
fr3_jointf,0.7000,0.0700,2.850787,1.286009,0.039255,0.007612
fr3_jointf,0.8000,0.0800,2.970828,1.234912,0.043309,0.006879
fr3_jointf,0.9000,0.0900,3.074377,1.194295,0.047366,0.005889
fr3_jointf,1.0000,0.1000,3.162455,1.149789,0.051454,0.004693
fr3_jointf,1.1000,0.1100,3.224899,1.111283,0.055541,0.003332
fr3_jointf,1.2000,0.1200,3.242159,1.099890,0.059720,0.001815
fr3_jointf,1.3000,0.1300,3.645655,1.211909,0.063880,0.000156
fr3_jointf_surff,0.1000,0.0100,1.041397,0.133943,0.016205,0.012751
fr3_jointf_surff,0.2000,0.0200,0.978909,0.125132,0.019706,0.013180
fr3_jointf_surff,0.3000,0.0300,0.933696,0.121588,0.022758,0.012924
fr3_jointf_surff,0.4000,0.0400,0.938050,0.244164,0.025663,0.012384
fr3_jointf_surff,0.5000,0.0500,0.966410,0.376462,0.028775,0.011411
fr3_jointf_surff,0.6000,0.0600,1.001965,0.507085,0.032208,0.010181
fr3_jointf_surff,0.7000,0.0700,1.020881,0.564681,0.035806,0.008831
fr3_jointf_surff,0.8000,0.0800,1.038356,0.613809,0.039664,0.007482
fr3_jointf_surff,0.9000,0.0900,1.034386,0.625948,0.043610,0.006081
fr3_jointf_surff,1.0000,0.1000,1.024703,0.722887,0.047891,0.004708
fr3_jointf_surff,1.1000,0.1100,1.016637,0.589553,0.051976,0.003308
fr3_jointf_surff,1.2000,0.1200,0.999981,0.606994,0.056334,0.001792
fr3_jointf_surff,1.3000,0.1300,0.913295,0.013180,0.060634,0.000155
