robot,method,omega_rad_s,ee_linear_speed_m_s,mean_force_error,std_force_error,mean_position_error,std_position_error
fr3,ff,0.3000,0.0300,3.480298,4.670278,0.124362,0.188181
fr3,ff,0.6000,0.0600,2.227523,3.573587,0.025151,0.055129
fr3,ff,0.9000,0.0900,0.500481,0.661940,0.009377,0.009338
fr3,ff,1.2000,0.1200,0.957795,1.175898,0.016420,0.009853
fr3,ff,1.6000,0.1600,2.094485,1.805922,0.024170,0.011810
fr3,ff_pi,0.3000,0.0300,3.041941,4.470231,0.150785,0.260222
fr3,ff_pi,0.6000,0.0600,1.053565,2.474882,0.013922,0.017757
fr3,ff_pi,0.9000,0.0900,0.170363,0.481988,0.009183,0.008890
fr3,ff_pi,1.2000,0.1200,0.423743,1.036003,0.016663,0.009814
fr3,ff_pi,1.6000,0.1600,0.836787,1.646351,0.024817,0.011713
fr3,pd,0.3000,0.0300,5.465365,3.036200,0.064136,0.089976
fr3,pd,0.6000,0.0600,4.516196,2.252260,0.020143,0.030942
fr3,pd,0.9000,0.0900,3.460197,0.319162,0.006191,0.004485
fr3,pd,1.2000,0.1200,3.639664,0.699792,0.014877,0.009114
fr3,pd,1.6000,0.1600,4.018216,1.139617,0.022925,0.011068
fr3,paper,0.3000,0.0300,3.481902,4.611312,0.213143,0.345884
fr3,paper,0.6000,0.0600,2.242858,3.447821,0.024928,0.055899
fr3,paper,0.9000,0.0900,0.555295,0.535105,0.009414,0.009487
fr3,paper,1.2000,0.1200,1.022851,1.113574,0.016355,0.009811
fr3,paper,1.6000,0.1600,1.992624,1.811910,0.024222,0.011800
fr3,paper_pi,0.3000,0.0300,2.995198,4.454272,0.076438,0.115567
fr3,paper_pi,0.6000,0.0600,0.917002,2.306944,0.013458,0.016655
fr3,paper_pi,0.9000,0.0900,0.153153,0.471450,0.009533,0.009511
fr3,paper_pi,1.2000,0.1200,0.396952,0.999893,0.016617,0.009635
fr3,paper_pi,1.6000,0.1600,0.825928,1.603461,0.024743,0.011630
fr3_friction,ff,0.3000,0.0300,0.037111,0.052466,0.019774,0.012865
fr3_friction,ff,0.6000,0.0600,0.035668,0.056094,0.022766,0.012891
fr3_friction,ff,0.9000,0.0900,0.074988,0.039751,0.024763,0.012362
fr3_friction,ff,1.2000,0.1200,0.154679,0.071265,0.026481,0.011629
fr3_friction,ff,1.6000,0.1600,0.301466,0.216003,0.028607,0.010609
fr3_friction,ff_pi,0.3000,0.0300,0.009378,0.014229,0.019755,0.012876
fr3_friction,ff_pi,0.6000,0.0600,0.017935,0.016956,0.022724,0.012931
fr3_friction,ff_pi,0.9000,0.0900,0.026179,0.018492,0.024709,0.012442
fr3_friction,ff_pi,1.2000,0.1200,0.037401,0.034235,0.026443,0.011746
fr3_friction,ff_pi,1.6000,0.1600,0.075737,0.079063,0.028655,0.010796
fr3_friction,pd,0.3000,0.0300,3.323008,0.015064,0.018465,0.013152
fr3_friction,pd,0.6000,0.0600,3.345706,0.021057,0.020508,0.012901
fr3_friction,pd,0.9000,0.0900,3.385937,0.024547,0.021956,0.012255
fr3_friction,pd,1.2000,0.1200,3.439752,0.023590,0.023162,0.011479
fr3_friction,pd,1.6000,0.1600,3.535188,0.021826,0.024610,0.010410
fr3_friction,paper,0.3000,0.0300,0.077494,0.067547,0.019787,0.012869
fr3_friction,paper,0.6000,0.0600,0.086727,0.101193,0.022772,0.012946
fr3_friction,paper,0.9000,0.0900,0.099216,0.135684,0.024742,0.012443
fr3_friction,paper,1.2000,0.1200,0.159532,0.181984,0.026428,0.011706
fr3_friction,paper,1.6000,0.1600,0.325255,0.269334,0.028523,0.010653
fr3_friction,paper_pi,0.3000,0.0300,0.010975,0.015029,0.019760,0.012874
fr3_friction,paper_pi,0.6000,0.0600,0.018186,0.024431,0.022734,0.012940
