robot,method,omega_rad_s,ee_linear_speed_m_s,mean_force_error,max_force_error,std_force_error,mean_position_error,max_position_error,std_position_error
fr3_friction,baseline,0.3142,0.0314,1.811601,1.954523,0.131933,0.008617,0.009214,0.000963
fr3_friction,baseline,0.6283,0.0628,2.204153,2.356220,0.182672,0.011584,0.012471,0.001481
fr3_friction,baseline,0.9425,0.0942,2.824405,15.271990,1.559432,0.016105,0.022541,0.003412
fr3_friction,baseline,1.2566,0.1257,4.313760,9.466114,4.844903,0.030422,0.069755,0.016081
fr3_friction,baseline,1.5708,0.1571,5.942920,13.636547,6.294046,0.046292,0.108206,0.028047
fr3_friction,baseline,1.8850,0.1885,7.056767,10.831010,6.722379,0.059595,0.132478,0.035718
fr3_friction,baseline,2.1991,0.2199,7.873434,11.351295,6.833475,0.070926,0.148391,0.040571
fr3_friction,baseline,2.5133,0.2513,8.419376,16.665059,6.726775,0.080449,0.158932,0.043139
fr3_friction,baseline,2.8274,0.2827,8.804351,20.484485,6.561718,0.089029,0.166926,0.044408
fr3_friction,baseline,3.1416,0.3142,9.071971,16.348134,6.307323,0.095535,0.171909,0.044382
fr3_friction,ff,0.3142,0.0314,0.043733,0.313083,0.063049,0.006320,0.026880,0.004283
fr3_friction,ff,0.6283,0.0628,0.202872,0.613027,0.133023,0.006834,0.026833,0.004386
fr3_friction,ff,0.9425,0.0942,0.472529,0.998895,0.219550,0.007218,0.026277,0.004213
fr3_friction,ff,1.2566,0.1257,0.830164,1.495642,0.330998,0.007542,0.025107,0.003940
fr3_friction,ff,1.5708,0.1571,1.276657,2.138281,0.474190,0.007831,0.023824,0.003653
fr3_friction,ff,1.8850,0.1885,1.812469,3.058018,0.656758,0.008078,0.022461,0.003332
fr3_friction,ff,2.1991,0.2199,2.443237,4.316544,0.894255,0.008285,0.020935,0.002939
fr3_friction,ff,2.5133,0.2513,3.182181,6.017200,1.219241,0.008490,0.019307,0.002486
fr3_friction,ff,2.8274,0.2827,4.367795,9.319619,1.848303,0.009113,0.017562,0.001976
fr3_friction,ff,3.1416,0.3142,6.652074,10.000000,2.585487,0.011491,0.019701,0.002218
fr3_friction,ff_pi,0.3142,0.0314,0.007616,0.090961,0.011962,0.006316,0.026881,0.004284
fr3_friction,ff_pi,0.6283,0.0628,0.022848,0.103312,0.029058,0.006825,0.026842,0.004399
fr3_friction,ff_pi,0.9425,0.0942,0.047423,0.149460,0.056244,0.007215,0.026344,0.004258
fr3_friction,ff_pi,1.2566,0.1257,0.081957,0.233281,0.097187,0.007558,0.025307,0.004039
fr3_friction,ff_pi,1.5708,0.1571,0.127649,0.379079,0.153891,0.007881,0.024249,0.003834
fr3_friction,ff_pi,1.8850,0.1885,0.186924,0.562446,0.226109,0.008172,0.023221,0.003629
fr3_friction,ff_pi,2.1991,0.2199,0.263372,0.776011,0.313830,0.008425,0.022169,0.003401
fr3_friction,ff_pi,2.5133,0.2513,0.360502,1.017671,0.417876,0.008648,0.021188,0.003162
fr3_friction,ff_pi,2.8274,0.2827,0.869540,8.914294,1.527568,0.009912,0.020888,0.003224
fr3_friction,ff_pi,3.1416,0.3142,1.733524,9.117730,2.541704,0.012586,0.024074,0.004194
fr3_friction,pd,0.3142,0.0314,3.344607,3.408382,0.016581,0.006509,0.027018,0.004117
fr3_friction,pd,0.6283,0.0628,3.407947,3.493476,0.033666,0.006874,0.026609,0.004021
fr3_friction,pd,0.9425,0.0942,3.511378,3.628944,0.057223,0.007162,0.025403,0.003709
