multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,1.319922,0.000041,0.003586,0.000000
0.2,0.6283185307179586,0.06283185307179587,1.332976,0.000685,0.003565,0.000000
0.3,0.9424777960769379,0.0942477796076938,1.321909,0.001354,0.003577,0.000000
0.4,1.2566370614359172,0.12566370614359174,1.335850,0.002564,0.003550,0.000000
0.5,1.5707963267948966,0.15707963267948966,1.325446,0.003858,0.003557,0.000000
0.6,1.8849555921538759,0.1884955592153876,1.339952,0.005606,0.003527,0.000000
0.7,2.199114857512855,0.21991148575128552,1.329600,0.007594,0.003528,0.000000
0.8,2.5132741228718345,0.25132741228718347,1.343966,0.010061,0.003495,0.000000
0.9,2.827433388230814,0.2827433388230814,1.332876,0.012957,0.003493,0.000000
1.0,3.141592653589793,0.3141592653589793,1.346393,0.016417,0.003462,0.000000
1.1,3.4557519189487724,0.3455751918948773,1.334135,0.020289,0.003461,0.000000
1.2,3.7699111843077517,0.3769911184307752,1.346583,0.024806,0.003436,0.000000
1.3,4.084070449666732,0.4084070449666731,1.333049,0.029469,0.003435,0.000000
1.4,4.39822971502571,0.43982297150257105,1.344392,0.034957,0.003414,0.000000
1.5,4.71238898038469,0.47123889803846897,1.329862,0.040342,0.003415,0.000000
1.6,5.026548245743669,0.5026548245743669,1.340683,0.047239,0.003399,0.000000
1.7,5.340707511102649,0.5340707511102648,1.325956,0.054158,0.003400,0.000000
1.8,5.654866776461628,0.5654866776461628,1.337173,0.063716,0.003391,0.000000
1.9,5.969026041820607,0.5969026041820608,1.323264,0.073563,0.003397,0.000000
2.0,6.283185307179586,0.6283185307179586,1.335817,0.086873,0.003395,0.000000
2.1,6.597344572538566,0.6597344572538566,1.323389,0.100303,0.003407,0.000000
2.2,6.911503837897545,0.6911503837897546,1.337519,0.117445,0.003415,0.000000
2.3,7.225663103256524,0.7225663103256524,1.326246,0.134814,0.003436,0.000000
2.4,7.5398223686155035,0.7539822368615504,1.340928,0.157043,0.003456,0.000000
2.5,7.853981633974484,0.7853981633974483,1.328982,0.181453,0.003492,0.000000
2.6,8.168140899333464,0.8168140899333463,1.341909,0.213159,0.003529,0.000000
2.7,8.482300164692441,0.8482300164692442,1.327195,0.248569,0.003586,0.000000
2.8,8.79645943005142,0.8796459430051421,1.337362,0.292529,0.003644,0.000000
2.9,9.1106186954104,0.9110618695410401,1.320279,0.341093,0.003720,0.000000
3.0,9.42477796076938,0.9424777960769379,1.329459,0.400824,0.003797,0.000000
3.1,9.738937226128359,0.9738937226128359,1.312577,0.467097,0.003892,0.000001
3.2,10.053096491487338,1.0053096491487339,1.322918,0.546712,0.003989,0.000001
3.3,10.367255756846319,1.0367255756846319,1.265397,0.804198,0.004347,0.000001
3.4,10.681415022205298,1.0681415022205296,1.234544,1.164356,0.004884,0.000001
3.5,10.995574287564276,1.0995574287564276,1.266720,1.498179,0.005145,0.000001
3.6,11.309733552923255,1.1309733552923256,1.335875,1.908906,0.005361,0.000001
3.7,11.623892818282236,1.1623892818282235,1.254044,2.443114,0.006065,0.000002
3.8,11.938052083641214,1.1938052083641215,1.336859,3.386080,0.006776,0.000001
3.9,12.252211349000193,1.2252211349000195,1.641770,5.521962,0.007033,0.000001
4.0,12.566370614359172,1.2566370614359172,1.733211,5.973968,0.007483,0.000002
4.1,12.880529879718152,1.2880529879718152,1.721910,5.790345,0.008047,0.000002
4.2,13.194689145077133,1.3194689145077132,2.278909,7.732275,0.008219,0.000002
4.3,13.50884841043611,1.3508848410436112,2.475735,7.905846,0.007779,0.000002
4.4,13.82300767579509,1.3823007675795091,7.999136,0.000646,0.110344,0.001978
4.5,14.13716694115407,1.413716694115407,7.999740,0.000607,0.111142,0.001881
4.6,14.451326206513048,1.4451326206513049,7.996349,0.010275,0.110475,0.001773
4.7,14.76548547187203,1.4765485471872029,7.989289,0.047593,0.107001,0.001600
4.8,15.079644737231007,1.5079644737231008,7.985783,0.136829,0.105751,0.001767
4.9,15.393804002589986,1.5393804002589988,7.977545,0.134506,0.104223,0.001925
5.0,15.707963267948967,1.5707963267948966,7.978616,0.114781,0.101048,0.001843
