multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,0.090265,0.417641,0.003529,0.000000
0.2,0.6283185307179586,0.06283185307179587,0.114052,0.417302,0.003537,0.000000
0.3,0.9424777960769379,0.0942477796076938,0.125525,0.419894,0.003558,0.000000
0.4,1.2566370614359172,0.12566370614359174,0.171046,0.426324,0.003579,0.000000
0.5,1.5707963267948966,0.15707963267948966,0.194277,0.436768,0.003612,0.000000
0.6,1.8849555921538759,0.1884955592153876,0.252165,0.461118,0.003647,0.000000
0.7,2.199114857512855,0.21991148575128552,0.288841,0.489949,0.003690,0.000001
0.8,2.5132741228718345,0.25132741228718347,0.367318,0.548841,0.003740,0.000001
0.9,2.827433388230814,0.2827433388230814,0.418738,0.610912,0.003792,0.000001
1.0,3.141592653589793,0.3141592653589793,0.515625,0.726361,0.003857,0.000002
1.1,3.4557519189487724,0.3455751918948773,0.580647,0.840252,0.003918,0.000002
1.2,3.7699111843077517,0.3769911184307752,0.697468,1.039701,0.003998,0.000003
1.3,4.084070449666732,0.4084070449666731,0.780424,1.228757,0.004066,0.000004
1.4,4.39822971502571,0.43982297150257105,0.919991,1.546619,0.004160,0.000005
1.5,4.71238898038469,0.47123889803846897,1.020607,1.841759,0.004235,0.000006
1.6,5.026548245743669,0.5026548245743669,1.181907,2.322498,0.004345,0.000007
1.7,5.340707511102649,0.5340707511102648,1.301455,2.762367,0.004429,0.000008
1.8,5.654866776461628,0.5654866776461628,1.486119,3.461449,0.004557,0.000009
1.9,5.969026041820607,0.5969026041820608,1.625831,4.095478,0.004650,0.000011
2.0,6.283185307179586,0.6283185307179586,1.836090,5.082553,0.004799,0.000012
2.1,6.597344572538566,0.6597344572538566,1.997825,5.971761,0.004905,0.000014
2.2,6.911503837897545,0.6911503837897546,2.236322,7.332779,0.005076,0.000016
2.3,7.225663103256524,0.7225663103256524,2.421821,8.551083,0.005198,0.000018
2.4,7.5398223686155035,0.7539822368615504,2.691064,10.388668,0.005394,0.000020
2.5,7.853981633974484,0.7853981633974483,2.901780,12.022458,0.005533,0.000022
2.6,8.168140899333464,0.8168140899333463,3.203712,14.453649,0.005758,0.000024
2.7,8.482300164692441,0.8482300164692442,3.440396,16.597692,0.005917,0.000026
2.8,8.79645943005142,0.8796459430051421,3.799524,19.895842,0.006186,0.000029
2.9,9.1106186954104,0.9110618695410401,4.110401,23.028952,0.006410,0.000031
3.0,9.42477796076938,0.9424777960769379,4.534388,27.618116,0.006774,0.000034
3.1,9.738937226128359,0.9738937226128359,4.856379,31.682069,0.007086,0.000037
3.2,10.053096491487338,1.0053096491487339,5.293014,37.426423,0.007563,0.000041
3.3,10.367255756846319,1.0367255756846319,5.606035,42.164446,0.007974,0.000044
3.4,10.681415022205298,1.0681415022205296,5.945080,46.726728,0.008346,0.000047
3.5,10.995574287564276,1.0995574287564276,6.335966,51.199736,0.008798,0.000049
3.6,11.309733552923255,1.1309733552923256,6.586910,55.924108,0.009281,0.000054
3.7,11.623892818282236,1.1623892818282235,7.049797,61.617473,0.009937,0.000056
3.8,11.938052083641214,1.1938052083641215,7.316621,65.165208,0.010397,0.000060
3.9,12.252211349000193,1.2252211349000195,7.648649,70.535708,0.011512,0.000067
4.0,12.566370614359172,1.2566370614359172,7.594613,67.173481,0.011449,0.000070
4.1,12.880529879718152,1.2880529879718152,7.739145,68.475691,0.012947,0.000079
4.2,13.194689145077133,1.3194689145077132,8.003744,66.553289,0.014042,0.000082
4.3,13.50884841043611,1.3508848410436112,8.217270,67.994137,0.015450,0.000088
4.4,13.82300767579509,1.3823007675795091,8.222286,61.741436,0.015063,0.000102
4.5,14.13716694115407,1.413716694115407,8.038225,4.847159,0.384972,0.015508
4.6,14.451326206513048,1.4451326206513049,8.049353,5.291269,0.347886,0.006281
4.7,14.76548547187203,1.4765485471872029,8.059445,5.809363,0.268818,0.006943
4.8,15.079644737231007,1.5079644737231008,932.743112,2015480.604591,0.297198,0.015444
4.9,15.393804002589986,1.5393804002589988,667.342851,1637772.815934,0.298419,0.011443
5.0,15.707963267948967,1.5707963267948966,8.086871,7.521567,0.311764,0.014486
