multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,1.480641,0.190974,0.003891,0.000000
0.2,0.6283185307179586,0.06283185307179587,1.394513,0.203984,0.003924,0.000000
0.3,0.9424777960769379,0.0942477796076938,1.401536,0.203740,0.003946,0.000000
0.4,1.2566370614359172,0.12566370614359174,1.380172,0.203782,0.003982,0.000000
0.5,1.5707963267948966,0.15707963267948966,1.359774,0.205004,0.004003,0.000000
0.6,1.8849555921538759,0.1884955592153876,1.356294,0.205310,0.004032,0.000000
0.7,2.199114857512855,0.21991148575128552,1.352608,0.205977,0.004053,0.000001
0.8,2.5132741228718345,0.25132741228718347,1.356463,0.206535,0.004088,0.000001
0.9,2.827433388230814,0.2827433388230814,1.355222,0.208219,0.004116,0.000001
1.0,3.141592653589793,0.3141592653589793,1.358716,0.210485,0.004164,0.000002
1.1,3.4557519189487724,0.3455751918948773,1.359210,0.213827,0.004199,0.000002
1.2,3.7699111843077517,0.3769911184307752,1.363317,0.218580,0.004259,0.000003
1.3,4.084070449666732,0.4084070449666731,1.364686,0.224087,0.004301,0.000004
1.4,4.39822971502571,0.43982297150257105,1.369335,0.232232,0.004375,0.000005
1.5,4.71238898038469,0.47123889803846897,1.370799,0.240599,0.004423,0.000006
1.6,5.026548245743669,0.5026548245743669,1.376869,0.253337,0.004511,0.000007
1.7,5.340707511102649,0.5340707511102648,1.379346,0.265476,0.004566,0.000008
1.8,5.654866776461628,0.5654866776461628,1.385286,0.284128,0.004671,0.000009
1.9,5.969026041820607,0.5969026041820608,1.388378,0.300736,0.004735,0.000011
2.0,6.283185307179586,0.6283185307179586,1.395738,0.326436,0.004858,0.000012
2.1,6.597344572538566,0.6597344572538566,1.398057,0.348497,0.004935,0.000014
2.2,6.911503837897545,0.6911503837897546,1.406898,0.382258,0.005078,0.000016
2.3,7.225663103256524,0.7225663103256524,1.409406,0.410406,0.005169,0.000018
2.4,7.5398223686155035,0.7539822368615504,1.418913,0.454260,0.005336,0.000020
2.5,7.853981633974484,0.7853981633974483,1.421458,0.490038,0.005445,0.000022
2.6,8.168140899333464,0.8168140899333463,1.432171,0.546168,0.005637,0.000024
2.7,8.482300164692441,0.8482300164692442,1.434655,0.591403,0.005766,0.000027
2.8,8.79645943005142,0.8796459430051421,1.446506,0.662434,0.005986,0.000029
2.9,9.1106186954104,0.9110618695410401,1.448693,0.719341,0.006138,0.000032
3.0,9.42477796076938,0.9424777960769379,1.461826,0.808678,0.006388,0.000034
3.1,9.738937226128359,0.9738937226128359,1.464919,0.879721,0.006562,0.000037
3.2,10.053096491487338,1.0053096491487339,1.483779,0.990863,0.006842,0.000040
3.3,10.367255756846319,1.0367255756846319,1.491793,1.079146,0.007041,0.000043
3.4,10.681415022205298,1.0681415022205296,1.515995,1.216527,0.007349,0.000046
3.5,10.995574287564276,1.0995574287564276,1.600215,1.514017,0.007721,0.000048
3.6,11.309733552923255,1.1309733552923256,1.664485,1.715177,0.007848,0.000051
3.7,11.623892818282236,1.1623892818282235,1.800104,2.153337,0.008228,0.000053
3.8,11.938052083641214,1.1938052083641215,1.899628,2.526995,0.008642,0.000056
3.9,12.252211349000193,1.2252211349000195,2.014755,2.918959,0.008786,0.000058
4.0,12.566370614359172,1.2566370614359172,2.178471,3.509541,0.009441,0.000059
4.1,12.880529879718152,1.2880529879718152,2.338006,4.074325,0.009812,0.000060
4.2,13.194689145077133,1.3194689145077132,2.591095,5.159211,0.009661,0.000069
4.3,13.50884841043611,1.3508848410436112,3.330363,7.892978,0.018251,0.001370
4.4,13.82300767579509,1.3823007675795091,6.023767,10.738578,0.112324,0.013514
4.5,14.13716694115407,1.413716694115407,7.039084,9.836164,0.119647,0.010089
4.6,14.451326206513048,1.4451326206513049,7.244301,6.801520,0.124800,0.006587
4.7,14.76548547187203,1.4765485471872029,7.660285,5.790379,0.271555,0.021884
4.8,15.079644737231007,1.5079644737231008,7.420592,7.100680,0.124345,0.006126
4.9,15.393804002589986,1.5393804002589988,7.483132,4.745568,0.156896,0.010895
5.0,15.707963267948967,1.5707963267948966,7.705764,6.839316,0.145436,0.007665
