multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,0.066139,0.000131,0.003552,0.000000
0.2,0.6283185307179586,0.06283185307179587,0.079355,0.000629,0.003540,0.000000
0.3,0.9424777960769379,0.0942477796076938,0.071038,0.001126,0.003548,0.000000
0.4,1.2566370614359172,0.12566370614359174,0.083616,0.001882,0.003527,0.000000
0.5,1.5707963267948966,0.15707963267948966,0.076668,0.002750,0.003533,0.000000
0.6,1.8849555921538759,0.1884955592153876,0.090823,0.003741,0.003507,0.000000
0.7,2.199114857512855,0.21991148575128552,0.088568,0.005064,0.003509,0.000000
0.8,2.5132741228718345,0.25132741228718347,0.104642,0.006495,0.003482,0.000000
0.9,2.827433388230814,0.2827433388230814,0.104711,0.008452,0.003482,0.000000
1.0,3.141592653589793,0.3141592653589793,0.120083,0.010430,0.003458,0.000000
1.1,3.4557519189487724,0.3455751918948773,0.121801,0.012959,0.003459,0.000000
1.2,3.7699111843077517,0.3769911184307752,0.137262,0.015585,0.003440,0.000000
1.3,4.084070449666732,0.4084070449666731,0.140803,0.018849,0.003441,0.000000
1.4,4.39822971502571,0.43982297150257105,0.156104,0.022257,0.003427,0.000000
1.5,4.71238898038469,0.47123889803846897,0.160696,0.026252,0.003429,0.000000
1.6,5.026548245743669,0.5026548245743669,0.175864,0.030665,0.003419,0.000000
1.7,5.340707511102649,0.5340707511102648,0.182312,0.036066,0.003424,0.000000
1.8,5.654866776461628,0.5654866776461628,0.198773,0.042730,0.003420,0.000000
1.9,5.969026041820607,0.5969026041820608,0.208368,0.050793,0.003430,0.000000
2.0,6.283185307179586,0.6283185307179586,0.226970,0.060686,0.003434,0.000000
2.1,6.597344572538566,0.6597344572538566,0.239930,0.072157,0.003451,0.000000
2.2,6.911503837897545,0.6911503837897546,0.261474,0.086076,0.003465,0.000000
2.3,7.225663103256524,0.7225663103256524,0.280335,0.101896,0.003492,0.000000
2.4,7.5398223686155035,0.7539822368615504,0.307215,0.121256,0.003519,0.000000
2.5,7.853981633974484,0.7853981633974483,0.331606,0.143534,0.003562,0.000000
2.6,8.168140899333464,0.8168140899333463,0.364581,0.171837,0.003608,0.000000
2.7,8.482300164692441,0.8482300164692442,0.396191,0.204651,0.003673,0.000000
2.8,8.79645943005142,0.8796459430051421,0.435260,0.245812,0.003740,0.000000
2.9,9.1106186954104,0.9110618695410401,0.471048,0.291083,0.003825,0.000001
3.0,9.42477796076938,0.9424777960769379,0.515279,0.347769,0.003912,0.000001
3.1,9.738937226128359,0.9738937226128359,0.558799,0.410721,0.004018,0.000001
3.2,10.053096491487338,1.0053096491487339,0.611641,0.489242,0.004124,0.000001
3.3,10.367255756846319,1.0367255756846319,0.652974,0.772843,0.004798,0.000001
3.4,10.681415022205298,1.0681415022205296,0.731242,0.973234,0.005039,0.000001
3.5,10.995574287564276,1.0995574287564276,0.820404,1.221958,0.005274,0.000001
3.6,11.309733552923255,1.1309733552923256,0.910640,1.599923,0.005765,0.000001
3.7,11.623892818282236,1.1623892818282235,0.934592,1.678659,0.006457,0.000002
3.8,11.938052083641214,1.1938052083641215,1.298470,3.036029,0.006864,0.000001
3.9,12.252211349000193,1.2252211349000195,1.632627,4.187765,0.006993,0.000002
4.0,12.566370614359172,1.2566370614359172,7.988140,0.049273,0.122365,0.003472
4.1,12.880529879718152,1.2880529879718152,2.887371,8.351787,0.014195,0.000742
4.2,13.194689145077133,1.3194689145077132,4.410101,11.318159,0.034849,0.004653
4.3,13.50884841043611,1.3508848410436112,7.981808,0.056801,0.112492,0.002742
4.4,13.82300767579509,1.3823007675795091,7.995781,0.016246,0.110804,0.002478
4.5,14.13716694115407,1.413716694115407,7.997056,0.009849,0.116382,0.003279
4.6,14.451326206513048,1.4451326206513049,7.997844,0.005836,0.127760,0.005074
4.7,14.76548547187203,1.4765485471872029,8.000000,0.000000,0.145070,0.006433
4.8,15.079644737231007,1.5079644737231008,8.000000,0.000000,0.166685,0.008826
4.9,15.393804002589986,1.5393804002589988,7.898996,4.238795,0.161521,0.010252
5.0,15.707963267948967,1.5707963267948966,7.989789,0.324091,0.391851,0.020988
