multiplier,angular_speed_rad_s,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.3141592653589793,0.031415926535897934,0.077216,0.237856,0.003528,0.000000
0.2,0.6283185307179586,0.06283185307179587,0.088057,0.236906,0.003524,0.000000
0.3,0.9424777960769379,0.0942477796076938,0.086588,0.236134,0.003527,0.000000
0.4,1.2566370614359172,0.12566370614359174,0.104922,0.234886,0.003534,0.000000
0.5,1.5707963267948966,0.15707963267948966,0.109395,0.234502,0.003548,0.000000
0.6,1.8849555921538759,0.1884955592153876,0.125843,0.234271,0.003567,0.000000
0.7,2.199114857512855,0.21991148575128552,0.131949,0.235011,0.003592,0.000000
0.8,2.5132741228718345,0.25132741228718347,0.147321,0.236110,0.003622,0.000000
0.9,2.827433388230814,0.2827433388230814,0.154486,0.238155,0.003655,0.000000
1.0,3.141592653589793,0.3141592653589793,0.169347,0.240736,0.003696,0.000001
1.1,3.4557519189487724,0.3455751918948773,0.177249,0.244018,0.003737,0.000001
1.2,3.7699111843077517,0.3769911184307752,0.191613,0.248129,0.003788,0.000001
1.3,4.084070449666732,0.4084070449666731,0.199777,0.252534,0.003837,0.000001
1.4,4.39822971502571,0.43982297150257105,0.213626,0.257986,0.003898,0.000002
1.5,4.71238898038469,0.47123889803846897,0.221860,0.263340,0.003954,0.000002
1.6,5.026548245743669,0.5026548245743669,0.235252,0.270014,0.004026,0.000003
1.7,5.340707511102649,0.5340707511102648,0.243432,0.276161,0.004091,0.000003
1.8,5.654866776461628,0.5654866776461628,0.256454,0.284086,0.004175,0.000004
1.9,5.969026041820607,0.5969026041820608,0.264572,0.291267,0.004250,0.000005
2.0,6.283185307179586,0.6283185307179586,0.277407,0.301006,0.004349,0.000006
2.1,6.597344572538566,0.6597344572538566,0.285592,0.310060,0.004436,0.000007
2.2,6.911503837897545,0.6911503837897546,0.298568,0.323055,0.004550,0.000008
2.3,7.225663103256524,0.7225663103256524,0.307475,0.335611,0.004651,0.000009
2.4,7.5398223686155035,0.7539822368615504,0.323917,0.354870,0.004784,0.000010
2.5,7.853981633974484,0.7853981633974483,0.337786,0.374410,0.004901,0.000012
2.6,8.168140899333464,0.8168140899333463,0.359845,0.405117,0.005054,0.000013
2.7,8.482300164692441,0.8482300164692442,0.378515,0.437947,0.005189,0.000015
2.8,8.79645943005142,0.8796459430051421,0.407438,0.488045,0.005364,0.000017
2.9,9.1106186954104,0.9110618695410401,0.432545,0.542859,0.005517,0.000019
3.0,9.42477796076938,0.9424777960769379,0.470584,0.622206,0.005713,0.000022
3.1,9.738937226128359,0.9738937226128359,0.502420,0.701327,0.005883,0.000024
3.2,10.053096491487338,1.0053096491487339,0.550679,0.828674,0.006094,0.000026
3.3,10.367255756846319,1.0367255756846319,0.598886,0.981857,0.006270,0.000028
3.4,10.681415022205298,1.0681415022205296,0.681278,1.284444,0.006484,0.000029
3.5,10.995574287564276,1.0995574287564276,0.771574,1.769169,0.006663,0.000030
3.6,11.309733552923255,1.1309733552923256,0.892561,2.446310,0.006950,0.000032
3.7,11.623892818282236,1.1623892818282235,1.078347,3.877004,0.007313,0.000037
3.8,11.938052083641214,1.1938052083641215,1.306900,7.116918,0.007925,0.000050
3.9,12.252211349000193,1.2252211349000195,1.762431,17.839972,0.010010,0.000128
4.0,12.566370614359172,1.2566370614359172,3.830253,35.771747,0.079216,0.023789
4.1,12.880529879718152,1.2880529879718152,8.026784,4.952521,0.386758,0.050016
4.2,13.194689145077133,1.3194689145077132,8.053941,5.422232,0.377261,0.029640
4.3,13.50884841043611,1.3508848410436112,8.077929,8.254694,0.364844,0.016173
4.4,13.82300767579509,1.3823007675795091,8.104204,9.727709,0.385735,0.017696
4.5,14.13716694115407,1.413716694115407,8.089144,7.798681,0.457170,0.021009
4.6,14.451326206513048,1.4451326206513049,8.102054,8.754907,0.490377,0.018743
4.7,14.76548547187203,1.4765485471872029,8.123631,10.807839,0.320429,0.019707
4.8,15.079644737231007,1.5079644737231008,2411.865441,1554300.942175,0.179863,0.011400
4.9,15.393804002589986,1.5393804002589988,8.149747,14.137489,0.458791,0.029095
5.0,15.707963267948967,1.5707963267948966,8.129211,11.537035,0.441341,0.061504
