method,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
Baseline,0.031415926535897934,1.3199224474185534,4.065256129382465e-05,0.003608980796436487,1.274861313926124e-07
Baseline,0.06283185307179587,1.3329764126408965,0.0006848249853376215,0.003599578532493583,1.419396368259691e-07
Baseline,0.0942477796076938,1.3219088671916988,0.0013537097069173459,0.0036259647839380045,1.7613960829227898e-07
Baseline,0.12566370614359174,1.3358498583592375,0.002563865268419667,0.003622757665991163,2.477827700584203e-07
Baseline,0.15707963267948966,1.3254461519627727,0.003857606344617191,0.0036537631069247867,3.622197401208973e-07
Baseline,0.1884955592153876,1.3399524899018624,0.005606485469795315,0.0036548929505267756,5.377991460175237e-07
Baseline,0.21991148575128552,1.329600416832966,0.007594014171694024,0.003688205752223929,7.729051500236396e-07
Baseline,0.25132741228718347,1.3439662346008505,0.010060899755655548,0.0036932115089134635,1.0876055769570804e-06
Baseline,0.2827433388230814,1.3328756180074677,0.012957020893511967,0.0037275281536663842,1.4747813914395006e-06
Baseline,0.3141592653589793,1.346393338949996,0.016417492192206805,0.0037363551812083307,1.956242056131284e-06
Baseline,0.3455751918948773,1.3341346192121122,0.02028896116244446,0.0037710284285671996,2.522291504744363e-06
Baseline,0.3769911184307752,1.3465825967805434,0.024805787504441446,0.003783822457784879,3.194462759871666e-06
Baseline,0.40840704496667324,1.33304913770726,0.02946853920156267,0.0038188159168302334,3.959815047853619e-06
Baseline,0.43982297150257105,1.3443921441271653,0.034956778585551594,0.0038359927746587506,4.840136647871654e-06
Baseline,0.47123889803846897,1.3298621019351546,0.04034166053780054,0.003872319625222524,5.821381008981536e-06
Baseline,0.5026548245743669,1.3406832060683478,0.04723909261474574,0.00389503157983341,6.924140973379353e-06
Baseline,0.5340707511102649,1.3259563941780583,0.054158454082215514,0.0039345567626422745,8.129360489651117e-06
Baseline,0.5654866776461628,1.3371730713256098,0.06371602570467519,0.003964571852130716,9.460029587369216e-06
Baseline,0.5969026041820608,1.3232644521844612,0.07356259855204958,0.004010149697845187,1.089423105306659e-05
Baseline,0.6283185307179586,1.335817088071885,0.08687311383775763,0.004049945859734608,1.245505339776267e-05
Baseline,0.6597344572538567,1.323388781780885,0.10030321079958701,0.004104809025549163,1.4115621967031253e-05
Baseline,0.6911503837897546,1.3375188663295623,0.11744524714197706,0.004156964345308636,1.5901568310873434e-05
Baseline,0.7225663103256524,1.3262455124299077,0.1348139791981265,0.0042242415908558505,1.7783310782894183e-05
Baseline,0.7539822368615504,1.3409282238381124,0.15704320028839014,0.004291046747191555,1.9787614990468417e-05
Baseline,0.7853981633974484,1.3289817565336077,0.18145254059545396,0.004373347800822144,2.1882979364548445e-05
Baseline,0.8168140899333465,1.3419091482060723,0.21315866484308815,0.00445680430535259,2.410247134563761e-05
Baseline,0.8482300164692442,1.3271954009201319,0.248569369594656,0.004556456421292065,2.6409192980670558e-05
Baseline,0.8796459430051421,1.3373617698844178,0.29252926460259154,0.0046580880844182436,2.8829140839453457e-05
Baseline,0.9110618695410401,1.3202786770594117,0.34109268808874443,0.004776909089921808,3.1335548230522215e-05
Baseline,0.9424777960769379,1.329458577752931,0.40082398938982405,0.004898318333703941,3.395678640212265e-05
Baseline,0.9738937226128359,1.3125767922971734,0.46709735207901876,0.005037699720965736,3.665186708515633e-05
Baseline,1.0053096491487339,1.322918385708039,0.5467116402250489,0.005179660946981505,3.945743456113785e-05
Baseline,1.0367255756846319,1.2653969343743092,0.804198049402629,0.00555816642381413,4.192533117236032e-05
Baseline,1.0681415022205298,1.234544337754003,1.1643559092829052,0.00609750661830508,4.389586917069491e-05
Baseline,1.0995574287564276,1.2667196742700046,1.4981792455139336,0.006385297902623864,4.632849625263678e-05
Baseline,1.1309733552923256,1.3358747474201247,1.9089062799208873,0.006631767161272335,4.878186899942703e-05
Baseline,1.1623892818282238,1.254043558158637,2.4431144519382277,0.00731505134062644,5.0599784292581246e-05
Baseline,1.1938052083641215,1.336858879558883,3.3860800768328065,0.008018484952261823,5.1683845506607625e-05
Baseline,1.2252211349000195,1.641769744056489,5.521962309128669,0.008294315699743003,5.38552340727883e-05
Baseline,1.2566370614359172,1.7332106811816954,5.973968044311888,0.008775011564013831,5.556764179710395e-05
Baseline,1.2880529879718152,1.7219098132387638,5.790345439286172,0.00931371057383349,5.5623215511728654e-05
Baseline,1.3194689145077134,2.2789088607860393,7.732275344672435,0.009509758159707686,5.518008955470595e-05
Baseline,1.3508848410436112,2.4757347465585573,7.905845837766968,0.009163650887379138,5.9378289046466876e-05
Baseline,1.3823007675795091,7.999136127199748,0.0006464621648927885,0.10447909486154057,0.002128618100830772
Baseline,1.4137166941154071,7.999740347533864,0.000606842047934099,0.10900160817318512,0.0020250204869043027
Baseline,1.4451326206513049,7.9963490572275155,0.01027469862742752,0.1095572988384424,0.0019526667620061472
Baseline,1.476548547187203,7.989289010113441,0.04759254196604478,0.10607198196116469,0.001694471317094705
Baseline,1.5079644737231008,7.985782952478723,0.13682923180982978,0.10479361362885968,0.0018287143167318022
Baseline,1.5393804002589988,7.977544989237986,0.13450557625547652,0.10366922882331796,0.002013023795544303
Baseline,1.5707963267948968,7.9786155598598505,0.11478109126212582,0.10122922020892945,0.0019944745673694864
Feedforward,0.031415926535897934,0.01887593044997526,3.59562707520201e-05,0.0035292135914539377,1.1616641233231025e-07
Feedforward,0.06283185307179587,0.04632894760721746,0.002771986311169387,0.003537344724208538,1.2587665817549065e-07
Feedforward,0.0942477796076938,0.05824002013325193,0.006121959141024779,0.003557892232074553,1.5607208649270127e-07
Feedforward,0.12566370614359174,0.1085737172178638,0.017030866938202247,0.003579440048208602,2.211664871366251e-07
Feedforward,0.15707963267948966,0.13533904011203715,0.030274655352164247,0.0036115845732871063,3.306997706579935e-07
Feedforward,0.1884955592153876,0.20126295606362568,0.062029137274162295,0.00364683992587129,4.966986495734789e-07
Feedforward,0.21991148575128552,0.2420542381876716,0.0965603205956363,0.0036898060899047433,7.241782780989956e-07
Feedforward,0.25132741228718347,0.32527034718409836,0.16671164712305708,0.0037397432863634714,1.0255146426603214e-06
Feedforward,0.2827433388230814,0.3742513167486205,0.23491268396669907,0.0037924466218779503,1.401908055048997e-06
Feedforward,0.3141592653589793,0.46899798973560974,0.3561183403647461,0.003857197280087586,1.8675349031541422e-06
Feedforward,0.3455751918948773,0.524805646044211,0.46298057287514327,0.00391819080196921,2.420942818054882e-06
Feedforward,0.3769911184307752,0.6379193955826165,0.6592337410217303,0.003997550916414458,3.076923948318265e-06
Feedforward,0.40840704496667324,0.7172656731112821,0.8475545949174866,0.004065691733479002,3.830645407182148e-06
Feedforward,0.43982297150257105,0.8646936679809366,1.1801511934772082,0.004159855547065453,4.697304024276095e-06
Feedforward,0.47123889803846897,0.9642136070409046,1.4784852575436644,0.004235114390676347,5.6701513471183095e-06
Feedforward,0.5026548245743669,1.1260815261785835,1.9646400117807685,0.004345215497060759,6.760794173660614e-06
Feedforward,0.5340707511102649,1.2395429034936254,2.3910537574027617,0.004428603053648224,7.961853915740828e-06
Feedforward,0.5654866776461628,1.4261475301303403,3.099182150294516,0.004556608343096039,9.28120999645823e-06
Feedforward,0.5969026041820608,1.5653476706329685,3.7348147688757614,0.004650210006439381,1.0717348683866105e-05
Feedforward,0.6283185307179586,1.7858279678800053,4.76200226789414,0.004798667183603886,1.2266796381539665e-05
Feedforward,0.6597344572538567,1.9542263103360609,5.675771483624327,0.004904906370961556,1.3938028527722552e-05
Feedforward,0.6911503837897546,2.2077893913912154,7.1045963242862165,0.0050763058648069384,1.5711923797795604e-05
Feedforward,0.7225663103256524,2.4002265349573073,8.361897601875775,0.005197707033760251,1.7615403985643115e-05
Feedforward,0.7539822368615504,2.682277110889234,10.284809244938852,0.00539436961937128,1.9604444994478265e-05
Feedforward,0.7853981633974484,2.896320917051401,11.958430650219924,0.005533448474927587,2.173246091514873e-05
Feedforward,0.8168140899333465,3.211219438167544,14.497395137599053,0.005757688550987592,2.3928343988652943e-05
Feedforward,0.8482300164692442,3.4570154094542707,16.72030804691603,0.005917243744875191,2.6276288231578057e-05
Feedforward,0.8796459430051421,3.8405807220894896,20.211839287560416,0.006185694817048034,2.8710950461356512e-05
Feedforward,0.9110618695410401,4.15845815995036,23.46332823780977,0.006410281862821941,3.141516434432366e-05
Feedforward,0.9424777960769379,4.588773770714519,28.182953136128205,0.006774091135516513,3.424317984759979e-05
Feedforward,0.9738937226128359,4.901301723057731,32.23198712543742,0.007085668630791296,3.737367562662332e-05
Feedforward,1.0053096491487339,5.343751957686881,38.144021837530694,0.007562783012447508,4.065016568719283e-05
Feedforward,1.0367255756846319,5.651199365004656,42.93939058361348,0.007974202226039315,4.425594320848728e-05
Feedforward,1.0681415022205298,5.989675107371551,47.557118446074654,0.008346062335796241,4.70446533760636e-05
Feedforward,1.0995574287564276,6.374672987614755,52.06823497375863,0.008798448786242846,4.9445828614541455e-05
Feedforward,1.1309733552923256,6.631525386446687,56.978243891842325,0.00928126863799843,5.350334218660026e-05
Feedforward,1.1623892818282238,7.105096870256394,62.80383459173914,0.009937004515491637,5.637082696526322e-05
Feedforward,1.1938052083641215,7.369266597832545,66.40496368764266,0.010397106961398735,5.977606881825756e-05
Feedforward,1.2252211349000195,7.718872167505065,72.07448434473457,0.01151221574983019,6.740059502104592e-05
Feedforward,1.2566370614359172,7.629161834280862,67.72159449794943,0.011449418465270651,7.029084498440288e-05
Feedforward,1.2880529879718152,7.743718380566111,67.75281412727243,0.012946581590758,7.92898506932562e-05
Feedforward,1.3194689145077134,7.99901737664216,63.96218047812769,0.014042093204743943,8.236951995259966e-05
Feedforward,1.3508848410436112,8.179851984642115,64.41983810614019,0.015449849004328145,8.759163466517153e-05
Feedforward,1.3823007675795091,8.157833446140925,57.06696340566799,0.015062513266010737,0.00010171325453411197
Feedforward,1.4137166941154071,8.0,0.0,0.3849724277667237,0.015508417631987551
Feedforward,1.4451326206513049,8.0,0.0,0.34788604102100507,0.0062812451001319075
Feedforward,1.476548547187203,8.0,0.0,0.2688184131882367,0.0069433190681136795
Feedforward,1.5079644737231008,997.9429917040245,2053339.8580258058,0.2971975426326564,0.01544427480561821
Feedforward,1.5393804002589988,694.8621124108771,1635701.3121312477,0.29841946827895693,0.011442689089222148
Feedforward,1.5707963267948968,8.0,0.0,0.311763806040684,0.014485756717197047
Feedforward + PI,0.031415926535897934,0.002802261506531261,3.4809838941694406e-05,0.0035367919998643355,1.108661438690011e-07
Feedforward + PI,0.06283185307179587,0.00638432802469176,8.261635190148782e-05,0.0035469777988902437,1.2383163926850924e-07
Feedforward + PI,0.0942477796076938,0.01220741623530274,0.00022250294549770632,0.0035639120060968446,1.5778055014237206e-07
Feedforward + PI,0.12566370614359174,0.024467487313351494,0.0008336804461202895,0.0035866139448293873,2.2484506299063151e-07
Feedforward + PI,0.15707963267948966,0.03720560905614495,0.0019024365911503606,0.003615641653384034,3.3586908845432214e-07
Feedforward + PI,0.1884955592153876,0.05662777686419566,0.004473161931531958,0.0036513065353405093,5.006459462056008e-07
Feedforward + PI,0.21991148575128552,0.07358519039352925,0.007775340651747674,0.0036915945307007788,7.266861107146332e-07
Feedforward + PI,0.25132741228718347,0.09779307266933715,0.014110021585589213,0.0037411525142945455,1.0227901592577517e-06
Feedforward + PI,0.2827433388230814,0.11547221883459219,0.020899350912671814,0.0037914892695392116,1.3944007887122614e-06
Feedforward + PI,0.3141592653589793,0.1431953689280926,0.03237771303391343,0.00385498639246368,1.8496517066824472e-06
Feedforward + PI,0.3455751918948773,0.1621678437843723,0.043780205996347694,0.003913817589798705,2.3941547808365036e-06
Feedforward + PI,0.3769911184307752,0.196369543082548,0.06349781118769965,0.0039908996354619496,3.0335433931105577e-06
Feedforward + PI,0.40840704496667324,0.22122273416580843,0.0836729520916466,0.004056966748406641,3.7732471711490463e-06
Feedforward + PI,0.43982297150257105,0.26420046473144426,0.11612488210061024,0.004147625184215291,4.616861040022188e-06
Feedforward + PI,0.47123889803846897,0.29230771014535456,0.1461595946335989,0.004220835230452023,5.572073369068182e-06
Feedforward + PI,0.5026548245743669,0.341730188869892,0.19275034885809114,0.004325973027841313,6.635353120367566e-06
Feedforward + PI,0.5340707511102649,0.3782829395672753,0.23562941908062343,0.004407199659498855,7.81608109321406e-06
Feedforward + PI,0.5654866776461628,0.4386842076553979,0.30413094411021324,0.004528483340593366,9.104519914949717e-06
Feedforward + PI,0.5969026041820608,0.4841282639101872,0.3682334632513158,0.00461968874344408,1.0517735569586938e-05
Feedforward + PI,0.6283185307179586,0.5543971788598928,0.46691424556232425,0.004759371742698322,1.2032550788843865e-05
Feedforward + PI,0.6597344572538567,0.6086844187550381,0.557974632780542,0.004862801658423005,1.3676187651688699e-05
Feedforward + PI,0.6911503837897546,0.6875486031016748,0.6933957295747688,0.0050228665915635325,1.5406463056612522e-05
Feedforward + PI,0.7225663103256524,0.7486683084872193,0.8175229292120101,0.005140540374473521,1.7270215781808328e-05
Feedforward + PI,0.7539822368615504,0.8345094121020677,0.9979344525589746,0.00532259015265378,1.9202493861455017e-05
Feedforward + PI,0.7853981633974484,0.9021661213765938,1.1627122431936214,0.0054563704928908595,2.1275260279279258e-05
Feedforward + PI,0.8168140899333465,0.996746085742946,1.3998601161953022,0.0056617651998480565,2.3398025824633134e-05
Feedforward + PI,0.8482300164692442,1.074573514440738,1.6182785109792164,0.005813460639090128,2.567053138154807e-05
Feedforward + PI,0.8796459430051421,1.179090522339394,1.9263460015865486,0.006043024657501947,2.7960060405001852e-05
Feedforward + PI,0.9110618695410401,1.2611962486270896,2.201420786656592,0.006214108729896658,3.0414385716419156e-05
Feedforward + PI,0.9424777960769379,1.3689177313120464,2.5733472968341435,0.006468657078892005,3.286376480673988e-05
Feedforward + PI,0.9738937226128359,1.454356680354229,2.894775255447942,0.0066603878315375465,3.548741636000703e-05
Feedforward + PI,1.0053096491487339,1.5702106253918169,3.348611939899102,0.0069401218610763826,3.808230839323614e-05
Feedforward + PI,1.0367255756846319,1.6679833203513248,3.771216193920702,0.0071529125018528475,4.083494942824321e-05
Feedforward + PI,1.0681415022205298,1.8034781239227407,4.380497793401413,0.007457120938046672,4.3530460397424156e-05
Feedforward + PI,1.0995574287564276,1.989464707310149,5.116612296239,0.007526089414671276,4.614060620175827e-05
Feedforward + PI,1.1309733552923256,2.1939123025836578,6.0989354446494195,0.00784753465768381,4.818952170510122e-05
Feedforward + PI,1.1623892818282238,2.480460732006021,7.587897754344781,0.008368437514049167,4.989987765392837e-05
Feedforward + PI,1.1938052083641215,2.665963908368138,8.663935099224632,0.008577915769853941,5.202327781420855e-05
Feedforward + PI,1.2252211349000195,2.9422577136078214,10.526279494344529,0.009118145560481747,5.384544814605753e-05
Feedforward + PI,1.2566370614359172,2.9508214325299233,10.621934803024713,0.009750398521133817,5.500678428857691e-05
Feedforward + PI,1.2880529879718152,3.1643061949126343,12.344982551632903,0.010315832328227503,5.540823748754701e-05
Feedforward + PI,1.3194689145077134,3.2758214909178225,13.169565852957437,0.011043702927678232,5.910038247259395e-05
Feedforward + PI,1.3508848410436112,3.4433326569917764,14.444290997343096,0.010637101254515793,7.789543495074035e-05
Feedforward + PI,1.3823007675795091,3.8369453293163427,18.259373529774404,0.011512611686566398,0.00012896201766186951
Feedforward + PI,1.4137166941154071,4.960711005998266,34.63312810940879,0.023171540412222857,0.0012433792528822075
Feedforward + PI,1.4451326206513049,8.277368918641114,102.37608824352908,0.07226174967048576,0.004240824608891897
Feedforward + PI,1.476548547187203,8.636543007561945,91.98194179387475,0.10911405583090582,0.007513719559506977
Feedforward + PI,1.5079644737231008,8.0,0.0,0.44161031115893246,0.019119236627126973
Feedforward + PI,1.5393804002589988,17.314345616662287,63017.82159247404,0.43862038564425476,0.026899140802951433
Feedforward + PI,1.5707963267948968,8.0,0.0,0.445069078160755,0.02340441297186083
PD,0.031415926535897934,1.4635126004099321,0.1362330741728097,0.003890802861079786,1.1022567335263039e-07
PD,0.06283185307179587,1.3670331451417177,0.14626137570243194,0.003923625255534584,1.2541742451067568e-07
PD,0.0942477796076938,1.374687584629245,0.14617614711849963,0.003946134875176115,1.6157499634667942e-07
PD,0.12566370614359174,1.3501277990358411,0.14460395946483182,0.0039815199488908775,2.2415124687788684e-07
PD,0.15707963267948966,1.328272597644102,0.1445496517032971,0.004002993112588525,3.2499377360522783e-07
PD,0.1884955592153876,1.3282176329131792,0.14487307859119922,0.004032434164273745,4.79768624719042e-07
PD,0.21991148575128552,1.3281310180086345,0.1453867253553728,0.004053469873784672,6.964425968930055e-07
PD,0.25132741228718347,1.335114481703037,0.14587830624287115,0.004087792842087977,9.84397776400123e-07
PD,0.2827433388230814,1.3359080948064157,0.14745557149562752,0.004115992228818172,1.3517744964201137e-06
PD,0.3141592653589793,1.3404459698191038,0.14978179065368855,0.004163563834376638,1.8039782482234199e-06
PD,0.3455751918948773,1.3404606246748676,0.15298396709140766,0.004198658408179674,2.3534839010675898e-06
PD,0.3769911184307752,1.342717677074734,0.15744326834000136,0.0042593599473593905,3.0003774197197303e-06
PD,0.40840704496667324,1.341416648415214,0.16221259641193284,0.00430072784135407,3.75919459488022e-06
PD,0.43982297150257105,1.3445955491885508,0.17023101878140745,0.004374695642065569,4.6254561841653835e-06
PD,0.47123889803846897,1.3459909171585966,0.1782391986312683,0.0044229001918329215,5.616725527169476e-06
PD,0.5026548245743669,1.3523364592760425,0.19087427087485712,0.004510716734982749,6.719934143523044e-06
PD,0.5340707511102649,1.355731388656586,0.2021261109343119,0.004566323911245399,7.952469863724352e-06
PD,0.5654866776461628,1.36373942203101,0.22035292550674643,0.004670607813968659,9.313700473817707e-06
PD,0.5969026041820608,1.3670295642149113,0.23626374010410764,0.004735498461519544,1.079207037214665e-05
PD,0.6283185307179586,1.3753417279963656,0.2623633322896381,0.0048576652601390845,1.2400346605183358e-05
PD,0.6597344572538567,1.377619161684084,0.28438377742576965,0.004935107408937737,1.4131797814816999e-05
PD,0.6911503837897546,1.3865313798032355,0.32000936097246635,0.005077749860674024,1.59694421059718e-05
PD,0.7225663103256524,1.3892576519538868,0.34912453518513786,0.0051694579752396925,1.7925666254328287e-05
PD,0.7539822368615504,1.400162570145357,0.39593269461488384,0.005335807748209609,1.998352213272846e-05
PD,0.7853981633974484,1.4035606382089028,0.4333960668775501,0.005444716995278397,2.2150384593590752e-05
PD,0.8168140899333465,1.4163804473841892,0.49357273579921773,0.005637098383365674,2.4406683828060874e-05
PD,0.8482300164692442,1.4197781337542406,0.5415295712592978,0.005765906337325296,2.6776069863521915e-05
PD,0.8796459430051421,1.433057186959012,0.6188344884146301,0.0059863784479610846,2.9210996344031567e-05
PD,0.9110618695410401,1.4342975714077943,0.6800086497732932,0.006137532913408624,3.177432633261405e-05
PD,0.9424777960769379,1.4458974718773094,0.775998188314992,0.006387657609314033,3.4386184623408994e-05
PD,0.9738937226128359,1.4444034082462556,0.847259418405922,0.006562320556390939,3.713514582543787e-05
PD,1.0053096491487339,1.4586953414523482,0.9583313505812239,0.0068421673453679405,3.9915043645792526e-05
PD,1.0367255756846319,1.460847363714368,1.0424589350865356,0.007040657013499258,4.282129836544172e-05
PD,1.0681415022205298,1.4824247001148976,1.1854517156210058,0.0073489686561916965,4.572398521342384e-05
PD,1.0995574287564276,1.573218285212028,1.5145216023450834,0.007720626514701245,4.825970400179529e-05
PD,1.1309733552923256,1.6446595893594886,1.733335995477806,0.007847722701636625,5.103568131986977e-05
PD,1.1623892818282238,1.789889211381538,2.195989549993987,0.008228143152520816,5.327209258977862e-05
PD,1.1938052083641215,1.901309707410621,2.593288613137354,0.008642140317377752,5.6190940536762706e-05
PD,1.2252211349000195,2.022770746182131,2.9865844328331783,0.008785574155247526,5.837492964010149e-05
PD,1.2566370614359172,2.2027915867981194,3.622792791021303,0.009440544123858979,5.9436027599746685e-05
PD,1.2880529879718152,2.364537569597783,4.210040186035116,0.00981170622768602,6.022412412023382e-05
PD,1.3194689145077134,2.5667693918786227,5.033017846590112,0.00966123100656215,6.89325996444604e-05
PD,1.3508848410436112,3.084312693789418,6.974885627783758,0.01825052416988067,0.0013695527484708988
PD,1.3823007675795091,6.042131352143306,10.708676150019107,0.11232441853045545,0.013514113430978227
PD,1.4137166941154071,7.142097725816149,9.727911255013034,0.11964657025841231,0.010088949498973234
PD,1.4451326206513049,7.330425328820689,6.056790462176111,0.12479976031980985,0.006586902208173623
PD,1.476548547187203,7.763235284615725,4.602855593290997,0.2715550282040104,0.02188371879206038
PD,1.5079644737231008,7.462228556076737,6.801492855255513,0.12434523743863081,0.006126125339991587
PD,1.5393804002589988,7.576990194168994,3.5648754310681947,0.15689556856692957,0.010894897642727438
PD,1.5707963267948968,7.795827640441463,6.387651447193493,0.14543560260832925,0.007664740732205554
HFDC,0.031415926535897934,0.027575542290588805,3.1039336314284654e-05,0.003529312295854487,1.1566281738116937e-07
HFDC,0.06283185307179587,0.04190693606118533,0.0008295348748749358,0.003538205390135934,1.2604739293277027e-07
HFDC,0.0942477796076938,0.03835897702263654,0.001722552495381452,0.003557145699537951,1.571607738546927e-07
HFDC,0.12566370614359174,0.0612860704227438,0.0032560635265860916,0.0035789724283429238,2.2252482828057495e-07
HFDC,0.15707963267948966,0.06467089013959818,0.004978966152002102,0.0036094734631734243,3.3228511475548105e-07
HFDC,0.1884955592153876,0.08398439649179594,0.007183196468347723,0.0036445040829796477,4.968063301956452e-07
HFDC,0.21991148575128552,0.0896620801356017,0.00976941272276332,0.003685909576004763,7.228449278716607e-07
HFDC,0.25132741228718347,0.10776246233716702,0.01279910366852841,0.003734990354410932,1.0194224761837294e-06
HFDC,0.2827433388230814,0.11567937369955393,0.016491620996006408,0.00378626864344982,1.3916081666875836e-06
HFDC,0.3141592653589793,0.13402364233240413,0.0207029843081493,0.0038493372086587075,1.847521492920955e-06
HFDC,0.3455751918948773,0.14327076699364033,0.02550886306765672,0.003909043895488006,2.392735664763343e-06
HFDC,0.3769911184307752,0.1598300284324074,0.030753433312340157,0.003985650402050345,3.0325055838589433e-06
HFDC,0.40840704496667324,0.168079974979377,0.03594775572090788,0.004052621131877113,3.7729642079026144e-06
HFDC,0.43982297150257105,0.18282688679060596,0.041787553714325444,0.004142683264700205,4.615808388565816e-06
HFDC,0.47123889803846897,0.1907504080111667,0.04713384475112903,0.004216836442127782,5.569306163023593e-06
HFDC,0.5026548245743669,0.20511878135455155,0.05415733670260388,0.0043211738911410474,6.627516239716513e-06
HFDC,0.5340707511102649,0.21380174989771025,0.06041142786486992,0.004403428303172277,7.801639562857849e-06
HFDC,0.5654866776461628,0.2291804290847909,0.06958205559008285,0.004523680311393032,9.079135313287563e-06
HFDC,0.5969026041820608,0.23966328831863937,0.07746736985728986,0.00461600036543448,1.0479223644425068e-05
HFDC,0.6283185307179586,0.2573177648125346,0.08936782779775977,0.004754337348380332,1.1976348046899768e-05
HFDC,0.6597344572538567,0.2691586611328838,0.09914397184577387,0.0048589245353673005,1.3601263184334112e-05
HFDC,0.6911503837897546,0.28762243323198794,0.1142721763419311,0.005017330440544338,1.5312241613618176e-05
HFDC,0.7225663103256524,0.2999937603020131,0.12673304903052166,0.005136270275578562,1.7158533984494572e-05
HFDC,0.7539822368615504,0.32079117440123395,0.14699581682151813,0.005316364813398165,1.9075032237497092e-05
HFDC,0.7853981633974484,0.33540818847883275,0.16455578746060825,0.005451504596652655,2.1135005497256726e-05
HFDC,0.8168140899333465,0.36061810042985604,0.1934368042476764,0.005654689945905771,2.3249343099454833e-05
HFDC,0.8482300164692442,0.37855375933772945,0.21919685307735426,0.005807892235359349,2.5517426754252474e-05
HFDC,0.8796459430051421,0.4088644522138924,0.26059149125993686,0.006035115351448305,2.7808778740454996e-05
HFDC,0.9110618695410401,0.4296799474711582,0.29818631603032164,0.006207927766601349,3.0267612249926565e-05
HFDC,0.9424777960769379,0.4692876297250076,0.3568147242670173,0.006460162998209306,3.2727015851039414e-05
HFDC,0.9738937226128359,0.5032330088288648,0.4104791299591653,0.0066539218393194734,3.53578237726661e-05
HFDC,1.0053096491487339,0.5570443459157085,0.49201206724318863,0.006931429886757219,3.7957998255612506e-05
HFDC,1.0367255756846319,0.6034911971445291,0.569924818660977,0.007146414366899829,4.070050946463273e-05
HFDC,1.0681415022205298,0.6699796263532799,0.6848429776944436,0.007448326685130466,4.337168351187581e-05
HFDC,1.0995574287564276,1.061438587387372,3.041412141614989,0.007682655719241106,4.534186246199849e-05
HFDC,1.1309733552923256,1.162138308040623,3.337888832299182,0.007817331877073423,4.8214124005511896e-05
HFDC,1.1623892818282238,1.554458081524404,5.513892600628188,0.008341933753123412,4.956990895474328e-05
HFDC,1.1938052083641215,1.7150581930529991,6.530336929287722,0.008488235705734839,5.1953945120806835e-05
HFDC,1.2252211349000195,2.2545203214345624,8.759056102142123,0.009117421938891262,5.350765885902388e-05
HFDC,1.2566370614359172,2.3756036021697287,9.977735408763607,0.00920799493369662,5.5098606356484486e-05
