method,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
Baseline,0.031415926535897934,0.06613920482548512,0.00013067082296829946,0.0035728280900535273,1.1784497271555263e-07
Baseline,0.06283185307179587,0.07935498210030452,0.0006288171192439994,0.003562622707907726,1.0632010446575371e-07
Baseline,0.0942477796076938,0.07103798310430567,0.0011264134584883108,0.003578002833654704,1.0354786185104298e-07
Baseline,0.12566370614359174,0.08361554656481589,0.0018819929732890159,0.003573709226876079,1.2130580539171853e-07
Baseline,0.15707963267948966,0.07666757686885212,0.002749699551193998,0.0035982578608767615,1.684368544366504e-07
Baseline,0.1884955592153876,0.09082257929591596,0.0037407731313438483,0.003599749571612834,2.603561477927365e-07
Baseline,0.21991148575128552,0.0885675349801473,0.005063613374852868,0.0036287463393832975,4.001445076267265e-07
Baseline,0.25132741228718347,0.10464246749372402,0.0064946879336863815,0.003634734222573628,6.020157060153371e-07
Baseline,0.2827433388230814,0.104711318695181,0.008451665268383765,0.0036658874512560074,8.643588240339699e-07
Baseline,0.3141592653589793,0.12008260153287481,0.01043014662220033,0.0036761531658294467,1.2016097576611035e-06
Baseline,0.3455751918948773,0.12180079951810766,0.012959218468143782,0.0037085582673032666,1.6095571441466692e-06
Baseline,0.3769911184307752,0.13726212143580255,0.015585362277764166,0.003723254135615711,2.1034708193821414e-06
Baseline,0.40840704496667324,0.14080330126663368,0.018848831537406904,0.003756966764572326,2.677174684559637e-06
Baseline,0.43982297150257105,0.15610408900134987,0.022256955728816214,0.0037766915589632485,3.3487879603020875e-06
Baseline,0.47123889803846897,0.1606957312205796,0.026251634084917066,0.0038128490097887333,4.110091286773433e-06
Baseline,0.5026548245743669,0.17586384245260533,0.03066480856190619,0.0038387915126675393,4.9809931291687664e-06
Baseline,0.5340707511102649,0.1823116759240188,0.03606576359166479,0.003879448514205709,5.952770574042543e-06
Baseline,0.5654866776461628,0.1987732599246808,0.04273001784823767,0.003913575390689843,7.04763913477322e-06
Baseline,0.5969026041820608,0.20836832703055855,0.05079293893236516,0.00396160992356791,8.254184873675731e-06
Baseline,0.6283185307179586,0.2269704389464944,0.06068550050464412,0.004006524127621409,9.599053023803736e-06
Baseline,0.6597344572538567,0.2399297119798657,0.07215701801881791,0.004065480672516246,1.106877762741959e-05
Baseline,0.6911503837897546,0.26147420602625754,0.08607600443522934,0.0041243696556870525,1.2696601189777563e-05
Baseline,0.7225663103256524,0.2803351583830767,0.10189619406302686,0.004198174754505821,1.4465394470620508e-05
Baseline,0.7539822368615504,0.30721519187821195,0.12125600288484277,0.004274247475896046,1.6411001837426857e-05
Baseline,0.7853981633974484,0.3316062599056157,0.14353351180816326,0.004366450976825785,1.8512625897559202e-05
Baseline,0.8168140899333465,0.3645810212334766,0.1718373743126118,0.0044626460353733785,2.081794509294033e-05
Baseline,0.8482300164692442,0.39619139429091904,0.20465144383215003,0.004576383729510076,2.3299085937844824e-05
Baseline,0.8796459430051421,0.43525957717339275,0.2458123305759319,0.004694876934726961,2.6006535744625984e-05
Baseline,0.9110618695410401,0.47104776434041973,0.2910832349690895,0.004832276724541472,2.890947719096277e-05
Baseline,0.9424777960769379,0.5152787953002036,0.3477693437173596,0.004974514933459453,3.20618958898026e-05
Baseline,0.9738937226128359,0.5587990875666877,0.41072098341496593,0.005136907579587102,3.542891829380191e-05
Baseline,1.0053096491487339,0.6116408173189,0.4892423228919962,0.0053015464728583305,3.8956603694369117e-05
Baseline,1.0367255756846319,0.6529740398383831,0.7728430082089816,0.0059701413914227675,4.1154652207644174e-05
Baseline,1.0681415022205298,0.7312417687156311,0.9732342214269875,0.00623484278854228,4.344125651038491e-05
Baseline,1.0995574287564276,0.8204044064474719,1.2219579033291295,0.0064733992417703974,4.510092650676942e-05
Baseline,1.1309733552923256,0.9106402897953709,1.5999233564981588,0.006937087066936088,4.6043627685511836e-05
Baseline,1.1623892818282238,0.9345923825303255,1.678659335139264,0.007642910800361663,4.75955585014495e-05
Baseline,1.1938052083641215,1.2984703666915414,3.0360294813058726,0.008283970799973438,5.217762205666471e-05
Baseline,1.2252211349000195,1.6326274837959964,4.187764606877814,0.00904322290741103,7.23686753204984e-05
Baseline,1.2566370614359172,7.988139681150895,0.049272522254095646,0.1176567758261136,0.0034574381192379626
Baseline,1.2880529879718152,2.8873714523967244,8.351786971853942,0.025581189821789155,0.0026941189958095985
Baseline,1.3194689145077134,4.410100671850379,11.3181585840634,0.045091672495138034,0.006020742415600783
Baseline,1.3508848410436112,7.981807933021634,0.05680052816730146,0.11515481672713797,0.003313931456123003
Baseline,1.3823007675795091,7.9957809217375875,0.016246413671977544,0.11126915877858448,0.0026614249380005864
Baseline,1.4137166941154071,7.997056319788269,0.009848833197938379,0.1154877884704442,0.003343958801415927
Baseline,1.4451326206513049,7.997843665392173,0.005836470775662161,0.1256199928676335,0.004991577975053972
Baseline,1.476548547187203,8.0,0.0,0.14110954025727745,0.006292099752169183
Baseline,1.5079644737231008,8.0,0.0,0.16067086167117706,0.008620086476416638
Baseline,1.5393804002589988,7.898995562817074,4.238794661504555,0.15622341157610267,0.009800337667933763
Baseline,1.5707963267948968,7.989789348298184,0.324091462263606,0.36390085406132666,0.02624216957659168
Feedforward,0.031415926535897934,0.013618346476505935,4.40345960835271e-05,0.00352866681996808,1.1211918753598383e-07
Feedforward,0.06283185307179587,0.046707750198448944,0.0027450630127049164,0.003522953344349142,1.0214461483949352e-07
Feedforward,0.0942477796076938,0.0588874950505229,0.005878771855528221,0.00352808942529828,9.574460390364441e-08
