kp,kd,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.5,0.5,5.463960,1.092770,0.005159,0.000001
0.5,1.0,5.520558,0.760556,0.005157,0.000001
0.5,2.0,5.694540,0.524211,0.005214,0.000001
0.5,3.0,5.947496,0.613449,0.005345,0.000001
0.5,5.0,6.478166,0.780736,0.005723,0.000001
0.5,8.0,7.251433,0.526803,0.006467,0.000001
1.0,0.5,4.100747,0.862817,0.004774,0.000001
1.0,1.0,4.140153,0.737888,0.004775,0.000001
1.0,2.0,4.223444,0.607542,0.004789,0.000001
1.0,3.0,4.346721,0.559087,0.004821,0.000001
1.0,5.0,4.719432,0.904158,0.004950,0.000001
1.0,8.0,5.363353,1.518233,0.005260,0.000001
2.0,0.5,2.735714,0.446837,0.004503,0.000001
2.0,1.0,2.761398,0.440700,0.004503,0.000001
2.0,2.0,2.812702,0.462197,0.004508,0.000001
2.0,3.0,2.865349,0.486415,0.004516,0.000001
2.0,5.0,3.003008,0.524576,0.004542,0.000001
2.0,8.0,3.364971,1.015463,0.004634,0.000001
3.0,0.5,2.052323,0.266400,0.004392,0.000001
3.0,1.0,2.070094,0.336330,0.004382,0.000001
3.0,2.0,2.107750,0.425979,0.004364,0.000001
3.0,3.0,2.146120,0.482527,0.004357,0.000001
3.0,5.0,2.228212,0.564483,0.004353,0.000001
3.0,8.0,2.411289,0.694542,0.004370,0.000001
5.0,0.5,1.375342,0.262363,0.004209,0.000001
5.0,1.0,1.387587,0.272796,0.004211,0.000001
5.0,2.0,1.412548,0.311579,0.004218,0.000001
5.0,3.0,1.438695,0.363408,0.004228,0.000001
5.0,5.0,1.491387,0.471371,0.004254,0.000001
5.0,8.0,1.577970,0.605236,0.004309,0.000001
8.0,0.5,0.928095,0.334719,0.005157,0.000002
8.0,1.0,0.935626,0.345343,0.005196,0.000002
8.0,2.0,0.952069,0.378494,0.005277,0.000002
8.0,3.0,0.973884,0.423247,0.005362,0.000002
8.0,5.0,1.040155,0.531232,0.005530,0.000003
8.0,8.0,1.137033,0.692444,0.005772,0.000003
