kp,ki,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,0.1,0.237058,0.073326,0.004121,0.000001
0.1,0.5,0.241247,0.073560,0.004124,0.000001
0.1,1.0,0.239452,0.073003,0.004124,0.000001
0.1,2.0,0.230278,0.069176,0.004124,0.000001
0.1,3.0,0.217592,0.063349,0.004124,0.000001
0.1,5.0,0.189019,0.050206,0.004124,0.000001
0.5,0.1,0.172034,0.038839,0.004120,0.000001
0.5,0.5,0.175242,0.038895,0.004122,0.000001
0.5,1.0,0.175167,0.038824,0.004123,0.000001
0.5,2.0,0.171625,0.037821,0.004123,0.000001
0.5,3.0,0.166016,0.036005,0.004123,0.000001
0.5,5.0,0.151804,0.031197,0.004123,0.000001
1.0,0.1,0.128062,0.021627,0.004120,0.000001
1.0,0.5,0.130236,0.021622,0.004121,0.000001
1.0,1.0,0.130718,0.021616,0.004122,0.000001
1.0,2.0,0.129495,0.021352,0.004122,0.000001
1.0,3.0,0.127050,0.020787,0.004122,0.000001
1.0,5.0,0.120178,0.019072,0.004122,0.000001
2.0,0.1,0.084720,0.009517,0.004119,0.000001
2.0,0.5,0.085746,0.009501,0.004120,0.000001
2.0,1.0,0.086274,0.009495,0.004121,0.000001
2.0,2.0,0.086251,0.009452,0.004121,0.000001
2.0,3.0,0.085631,0.009353,0.004121,0.000001
2.0,5.0,0.083467,0.009004,0.004121,0.000001
3.0,0.1,0.358399,0.134297,0.004077,0.000001
3.0,0.5,0.358295,0.134212,0.004078,0.000001
3.0,1.0,0.358235,0.134164,0.004078,0.000001
3.0,2.0,0.358204,0.134125,0.004078,0.000001
3.0,3.0,0.358212,0.134099,0.004078,0.000001
3.0,5.0,0.358258,0.134023,0.004078,0.000001
5.0,0.1,0.422800,0.182062,0.004042,0.000001
5.0,0.5,0.422779,0.182047,0.004042,0.000001
5.0,1.0,0.422763,0.182035,0.004043,0.000001
5.0,2.0,0.422751,0.182025,0.004043,0.000001
5.0,3.0,0.422752,0.182023,0.004043,0.000001
5.0,5.0,0.422770,0.182027,0.004043,0.000001
